"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,26.23,6.75,27.51,0,0,49.92,49.92
1984,16,0.04,25.04,43.53,100,0,0,100
1985,16,0,25,59.54,100,0,0,100
1986,16,25,49.47,49.47,0,0,0,0
1987,16,2.45,27.45,29.3,100,0,40.51,140.51
1988,16,0,13.58,63.58,100,0,0,100
1989,16,0.5,0,32.95,100,0,21.33,121.33
1990,16,0,0,37.43,100,0,0,100
1991,16,9.43,0,32.76,0,0,22.31,22.31
1992,16,0,0,50,100,0,0,100
1993,16,26,25,48.34,0,0,0,0
1994,16,0,25,75,100,0,0,100
1995,16,0,22.18,72.18,100,0,0,100
1996,16,26.17,4.82,29.82,0,0,37.79,37.79
1997,16,19.27,35.79,50,0,0,0,0
1998,16,25.18,43.5,73,0,0,0,0
1999,16,0,20.79,70.79,100,0,0,100
2000,16,15.38,26.25,60.87,0,0,0,0
2001,16,0,0,42.91,100,0,0,100
2002,16,4.07,0,24.83,100,0,64.05,164.05
2003,16,14.27,13.12,22.03,0,0,78.79,78.79
2004,16,2.37,4.06,43,100,0,0,100
2005,16,7.3,25,59.91,0,0,0,0
2006,16,3.71,0,25,100,0,63.16,163.16
2007,16,6.98,28.73,75,0,0,0,0
2008,16,1.97,9.87,54.69,100,0,0,100
2009,16,11.18,12.97,51.79,0,0,0,0
2010,16,0,6.39,52.79,100,0,0,100
2011,16,25,25,61.48,0,0,0,0
2012,16,7.04,27.03,48.73,0,0,0,0
2013,16,2.57,19.87,69.87,100,0,0,100
2014,16,0,5.04,55.04,100,0,0,100
2015,16,10.96,18.42,68.42,0,0,0,0
2016,16,20.32,20.93,56.12,0,0,0,0
2017,16,0,25,42.81,100,0,0,100
2018,16,8.49,25,68.35,0,0,0,0
2019,16,7.32,0,36.67,0,0,1.76,1.76
