"time","crop","value"
"1983","Barley",98
"1984","Barley",79
"1985","Barley",99
"1986","Barley",79
"1987","Barley",95
"1988","Barley",93
"1989","Barley",80
"1990","Barley",45
"1991","Barley",100
"1992","Barley",61
"1993","Barley",100
"1994","Barley",86
"1995","Barley",72
"1996","Barley",94
"1997","Barley",100
"1998","Barley",100
"1999","Barley",65
"2000","Barley",82
"2001","Barley",64
"2002","Barley",61
"2003","Barley",62
"2004","Barley",57
"2005","Barley",68
"2006","Barley",95
"2007","Barley",95
"2008","Barley",100
"2009","Barley",86
"2010","Barley",62
"2011","Barley",89
"2012","Barley",71
"2013","Barley",94
"2014","Barley",100
"2015","Barley",97
"2016","Barley",100
"2017","Barley",100
"2018","Barley",100
"1983","Maize",97
"1984","Maize",76
"1985","Maize",96
"1986","Maize",66
"1987","Maize",92
"1988","Maize",90
"1989","Maize",77
"1990","Maize",61
"1991","Maize",100
"1992","Maize",88
"1993","Maize",100
"1994","Maize",87
"1995","Maize",70
"1996","Maize",94
"1997","Maize",100
"1998","Maize",100
"1999","Maize",63
"2000","Maize",85
"2001","Maize",80
"2002","Maize",59
"2003","Maize",60
"2004","Maize",63
"2005","Maize",73
"2006","Maize",95
"2007","Maize",87
"2008","Maize",100
"2009","Maize",83
"2010","Maize",94
"2011","Maize",86
"2012","Maize",79
"2013","Maize",95
"2014","Maize",100
"2015","Maize",88
"2016","Maize",100
"2017","Maize",98
"2018","Maize",98
"1983","Sorghum",99
"1984","Sorghum",79
"1985","Sorghum",97
"1986","Sorghum",67
"1987","Sorghum",92
"1988","Sorghum",91
"1989","Sorghum",78
"1990","Sorghum",62
"1991","Sorghum",100
"1992","Sorghum",89
"1993","Sorghum",100
"1994","Sorghum",87
"1995","Sorghum",71
"1996","Sorghum",94
"1997","Sorghum",100
"1998","Sorghum",100
"1999","Sorghum",64
"2000","Sorghum",86
"2001","Sorghum",81
"2002","Sorghum",46
"2003","Sorghum",61
"2004","Sorghum",66
"2005","Sorghum",77
"2006","Sorghum",95
"2007","Sorghum",87
"2008","Sorghum",100
"2009","Sorghum",84
"2010","Sorghum",94
"2011","Sorghum",89
"2012","Sorghum",80
"2013","Sorghum",94
"2014","Sorghum",100
"2015","Sorghum",90
"2016","Sorghum",100
"2017","Sorghum",99
"2018","Sorghum",99
"1983","Teff",50
"1984","Teff",86
"1985","Teff",69
"1986","Teff",100
"1987","Teff",54
"1988","Teff",94
"1989","Teff",78
"1990","Teff",60
"1991","Teff",93
"1992","Teff",82
"1993","Teff",76
"1994","Teff",97
"1995","Teff",54
"1996","Teff",69
"1997","Teff",100
"1998","Teff",75
"1999","Teff",93
"2000","Teff",82
"2001","Teff",88
"2002","Teff",83
"2003","Teff",89
"2004","Teff",74
"2005","Teff",86
"2006","Teff",93
"2007","Teff",98
"2008","Teff",79
"2009","Teff",84
"2010","Teff",89
"2011","Teff",86
"2012","Teff",87
"2013","Teff",97
"2014","Teff",84
"2015","Teff",95
"2016","Teff",90
"2017","Teff",71
"2018","Teff",87
"1983","Wheat",89
"1984","Wheat",73
"1985","Wheat",73
"1986","Wheat",88
"1987","Wheat",85
"1988","Wheat",93
"1989","Wheat",89
"1990","Wheat",49
"1991","Wheat",72
"1992","Wheat",67
"1993","Wheat",98
"1994","Wheat",78
"1995","Wheat",44
"1996","Wheat",85
"1997","Wheat",100
"1998","Wheat",57
"1999","Wheat",72
"2000","Wheat",88
"2001","Wheat",71
"2002","Wheat",67
"2003","Wheat",69
"2004","Wheat",62
"2005","Wheat",76
"2006","Wheat",78
"2007","Wheat",76
"2008","Wheat",95
"2009","Wheat",96
"2010","Wheat",69
"2011","Wheat",79
"2012","Wheat",79
"2013","Wheat",75
"2014","Wheat",66
"2015","Wheat",76
"2016","Wheat",71
"2017","Wheat",55
"2018","Wheat",100
