"","MIXEDET"
"1983",40.0302850035364
"1984",-1.79449088924793
"1985",22.4625736037146
"1986",27.4118984094677
"1987",68.3150680962715
"1988",24.0078050044972
"1989",42.5984150259223
"1990",26.3720972455534
"1991",25.221348580074
"1992",35.1160428001382
"1993",26.6231049124023
"1994",6.55838683320412
"1995",28.6917992042047
"1996",15.0841225319651
"1997",9.18606883605799
"1998",26.6258073537601
"1999",41.3889988153284
"2000",15.4
"2001",10.7
"2002",6.4
"2003",29.4
"2004",14.5
"2005",30.1
"2006",21.6
"2007",55.1
"2008",42.8
"2009",24.8
"2010",46.6
"2011",13.5
"2012",41.2
"2013",8.4
"2014",27.2
