"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,18.11,27.51,75,80.44,0,0,80.44
1984,16,50,50,75,0,0,0,0
1985,16,30.75,30.75,75,20.25,0,0,20.25
1986,16,38.64,50,75,0,0,0,0
1987,16,75,35.64,60.64,0,0,46.34,46.34
1988,16,61.85,46.26,75,0,0,0,0
1989,16,60.28,35.28,75,0,0,0,0
1990,16,50,50,75,0,0,0,0
1991,16,30.63,50,75,20.79,0,0,20.79
1992,16,35.29,48.59,73.59,0,0,4.54,4.54
1993,16,47.13,35.3,75,0,0,0,0
1994,16,66.85,50,75,0,0,0,0
1995,16,38.33,37.2,62.2,0,0,41.3,41.3
1996,16,68.83,43.83,75,0,0,0,0
1997,16,74.15,50,68.67,0,0,20.43,20.43
1998,16,52.39,50,75,0,0,0,0
1999,16,25,50,75,47.62,0,0,47.62
2000,16,39.21,45.17,75,0,0,0,0
2001,16,64.84,50,75,0,0,0,0
2002,16,42.82,42.82,75,0,0,0,0
2003,16,34.85,46.75,72.05,0.72,0,9.52,10.24
2004,16,20.56,22.15,55.48,68.78,0,62.96,131.75
2005,16,40.4,50,75,0,0,0,0
2006,16,66.8,50,75,0,0,0,0
2007,16,52.09,40.7,75,0,0,0,0
2008,16,70.86,50,75,0,0,0,0
2009,16,55.98,39.68,75,0,0,0,0
2010,16,35.38,28.47,75,0,0,0,0
2011,16,75,50,75,0,0,0,0
2012,16,50.28,50,75,0,0,0,0
2013,16,25.24,42.16,75,46.5,0,0,46.5
2014,16,25,50,75,47.62,0,0,47.62
2015,16,50,50,75,0,0,0,0
2016,16,46.97,50,75,0,0,0,0
2017,16,30.38,50,75,22,0,0,22
2018,16,75,50,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
