"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,30.97,29.1,75,0,0,0,0
1984,16,1.98,5.03,53.05,100,0,60.54,160.54
1985,16,25,50,75,0,0,0,0
1986,16,35.82,50,75,0,0,0,0
1987,16,44.54,36.5,75,0,0,0,0
1988,16,26.76,25,75,0,0,0,0
1989,16,51.47,50,67.41,0,0,9.27,9.27
1990,16,5.48,11.03,55.22,97.31,0,52.77,150.08
1991,16,55.57,50,75,0,0,0,0
1992,16,20.35,10.8,60.8,14.75,0,32.86,47.61
1993,16,57.92,46.64,71.64,0,0,0,0
1994,16,39.28,50,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,58.93,46.11,75,0,0,0,0
1998,16,50.09,50,75,0,0,0,0
1999,16,21.71,46.71,75,7.19,0,0,7.19
2000,16,22.74,45.3,75,1.47,0,0,1.47
2001,16,29.34,50,75,0,0,0,0
2002,16,29.62,24.53,69.9,0,0,0.35,0.35
2003,16,37.48,41.86,66.86,0,0,11.22,11.22
2004,16,25.46,37.13,64.97,0,0,17.98,17.98
2005,16,32.12,37.88,75,0,0,0,0
2006,16,29.9,41.56,66.56,0,0,12.27,12.27
2007,16,36.4,35.12,75,0,0,0,0
2008,16,5.5,25,75,97.21,0,0,97.21
2009,16,59.46,46.88,75,0,0,0,0
2010,16,47.34,50,75,0,0,0,0
2011,16,26.18,50,75,0,0,0,0
2012,16,25,50,75,0,0,0,0
2013,16,4.26,27.24,72.98,100,0,0,100
2014,16,18.4,30.73,75,25.54,0,0,25.54
2015,16,17.73,6.93,56.93,29.27,0,46.67,75.94
2016,16,50,50,75,0,0,0,0
2017,16,27.8,50,75,0,0,0,0
2018,16,51.55,46.74,75,0,0,0,0
2019,16,54.18,50,75,0,0,0,0
