"","MIXEDET"
"1983",8.91574839159427
"1984",-5.38670703943322
"1985",43.5746571019517
"1986",23.2815906760385
"1987",31.1272116394576
"1988",18.5573429224416
"1989",50.9176481759357
"1990",4.11956552740708
"1991",19.9380391034274
"1992",18.5310112373979
"1993",18.3825234308691
"1994",21.0072963255126
"1995",23.9412947910385
"1996",12.2198024366398
"1997",15.7755339640956
"1998",22.2124097776781
"1999",11.147377779977
"2000",3.3
"2001",7.2
"2002",1.8
"2003",22.9
"2004",2.1
"2005",26.4
"2006",20.7
"2007",47.6
"2008",31.8
"2009",24.5
"2010",40.2
"2011",13.8
"2012",26.6
"2013",2.4
"2014",17.6
