"","MIXEDET"
"1983",7.25523701438925
"1984",-15.1038687930228
"1985",28.9513840934133
"1986",32.8348252284387
"1987",-0.797721662136126
"1988",45.0260255321616
"1989",47.0536113272013
"1990",1.98625776662788
"1991",7.41551474333631
"1992",22.5662022152133
"1993",38.0380192922035
"1994",55.5923589876167
"1995",27.7695171520768
"1996",44.0379181681269
"1997",8.18801471746957
"1998",64.5373611329425
"1999",45.4574216216127
"2000",18
"2001",6.1
"2002",1
"2003",48.1
"2004",3.6
"2005",57.3
"2006",47
"2007",68.8
"2008",49.6
"2009",35.3
"2010",58.8
"2011",20.8
"2012",25.7
"2013",34.8
"2014",49.3
