"","MIXEDET"
"1983",1.44616032652508
"1984",2.24091585613645
"1985",22.6598083082082
"1986",19.0918103912327
"1987",-29.0197774316928
"1988",23.407082527299
"1989",51.0012170840488
"1990",2.6459165969671
"1991",9.02250822078014
"1992",41.6733281584197
"1993",44.44508675483
"1994",60.6198548470686
"1995",42.6571186555409
"1996",42.015564541906
"1997",19.2144828083354
"1998",76.5798441987494
"1999",60.6694505596982
"2000",36.4
"2001",4.8
"2002",4.1
"2003",43.6
"2004",6.7
"2005",37.5
"2006",64.2
"2007",76.6
"2008",61.8
"2009",45.6
"2010",61.4
"2011",16.5
"2012",19.6
"2013",54.4
"2014",44
