"year","MIXEDET"
1983,30.2006643547437
1984,31.3402917729087
1985,32.7599864255816
1986,37.2804947710128
1987,28.867027607174
1988,34.2929209094095
1989,42.4102372894569
1990,33.7851853339871
1991,35.7838877608685
1992,37.4906482965687
1993,31.5919277558927
1994,32.259188851811
1995,31.1924589684833
1996,30.7231856364833
1997,29.4711553139361
1998,38.5758754745099
1999,42.6001105024923
2000,40.43415
2001,37.30337
2002,27.32309
2003,35.28099
2004,29.77667
2005,33.63862
2006,38.62679
2007,33.0467
2008,35.98262
2009,34.98762
2010,31.90893
2011,32.49521
2012,27.67509
2013,31.8404222311359
2014,44.15666
