"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",5.418136,7.176269,4.947141,3.874462,7.485684,7.812538,7.519539,6.794687,4.842903,15.17594,8.652184
"Feb",4.886766,6.807938,5.708817,4.940493,7.662882,8.71173,7.922683,7.392644,6.164766,7.322397,17.8205
"Mar",9.657508,11.74946,11.86832,11.09948,14.78713,14.96048,13.05469,15.98203,10.96915,10.51705,20.1667
"Apr",23.01715,26.32732,16.21142,25.41852,20.8762,22.32667,22.32014,21.90265,17.09886,19.9054,22.9439
"May",26.88595,38.03157,22.90315,37.14893,35.40529,31.07475,29.33598,43.63515,32.95313,36.80917,49.27464
"Jun",43.67482,44.3721,31.54547,32.54719,44.19314,39.07875,43.71898,38.73248,36.11317,37.49855,39.09754
"Jul",81.06658,67.66142,65.09679,63.48799,69.68153,75.58944,76.077,60.67687,56.0458,74.50687,67.44521
"Aug",63.92345,74.24546,61.12265,79.67586,74.16576,70.91058,71.22399,72.45222,72.0159,77.95525,77.79174
"Sep",48.80988,40.78261,25.30587,51.47268,45.04708,38.21159,39.60209,47.80537,47.37896,46.9589,46.44259
"Oct",13.69611,10.38433,8.413435,17.29008,12.73504,12.06122,21.26343,23.68998,14.50791,18.03668,13.71064
"Nov",6.859061,16.53894,3.737557,9.908648,18.18357,14.01541,11.84056,12.36746,12.75041,9.276345,10.41846
"Dec",5.433513,6.295419,3.271316,7.764947,9.557651,11.15757,8.011057,7.972401,15.89371,7.954018,9.548789
