"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.4403282,0.142575,0.1971795,0.5104461,0.3955253,0.5540363,0.2569782,0.258732,0.3622127,0.4346284,0.4613544,0.2287551,0.2537692,0.3981887,0.2471472,0.5381713,0.5314133,0.4028908,0.3611783,0.3268303,0.5490775,0.4571674,0.4080496,0.4603237,0.4100957,0.4375127
"Aug",0.6140754,0.4827896,0.5124246,0.5090138,0.5642974,0.6790958,0.450524,0.5306852,0.6133162,0.643253,0.5252367,0.4892718,0.3737841,0.6280298,0.5890655,0.5138674,0.6161455,0.5327058,0.6072769,0.5139836,0.6304744,0.6239019,0.6506959,0.597097,0.6367922,0.5418689
"Sep",0.6061213,0.5678328,0.6083831,0.4319713,0.5540564,0.5957686,0.5298488,0.6290736,0.5995274,0.5550979,0.5014232,0.6319551,0.4326635,0.6978611,0.6529799,0.5080636,0.4805212,0.5945036,0.6418055,0.4977522,0.6204652,0.5393068,0.608937,0.5542567,0.5880499,0.6009859
"Oct",0.5396627,0.5573733,0.4843024,0.4124503,0.440692,0.4971428,0.4051277,0.4770355,0.498346,0.4792348,0.4546556,0.5557975,0.4195113,0.5938508,0.4654743,0.4230087,0.3912633,0.5058012,0.5270041,0.4127733,0.4639153,0.4260365,0.4868711,0.4257465,0.452726,0.4586194
"Nov",0.4044093,0.4376151,0.4239159,0.2687833,0.3369618,0.3655677,0.3309186,0.4175253,0.4172732,0.3456844,0.3757269,0.441136,0.3518326,0.4276877,0.3761879,0.3185858,0.3911221,0.4380241,0.484232,0.4994219,0.4086817,0.3374942,0.4111486,0.3384826,0.3621956,0.3659708
"Dec",0.3167984,0.3562036,0.3309107,0.2285978,0.2752637,0.3115247,0.2599978,0.388475,0.3070813,0.3114489,0.3284189,0.3322702,0.2916539,0.3636952,0.2973289,0.2803128,0.3624572,0.3808473,0.3693344,0.3935941,0.3622315,0.3004981,0.3557377,0.2902978,0.314872,0.2969747
"Jan",,0.2335304,0.2811916,0.2518832,0.2608549,0.2365645,0.2759429,0.2553594,0.3300014,0.2645779,0.2617514,0.2828292,0.3124946,0.2501824,0.3218241,0.2443918,0.2483411,0.2870076,0.3043839,0.3140794,0.3390769,0.3015551,0.2766955,0.2880526,0.26879,0.2759781
"Feb",,0.2302667,0.2431208,0.2623064,0.2112879,0.2000841,0.2157402,0.1876536,0.2550236,0.1901555,0.2398184,0.2384698,0.2490258,0.1857542,0.2622999,0.2230788,0.2307385,0.2257592,0.2853274,0.2741172,0.2876713,0.2858615,0.2443363,0.2584977,0.2470933,0.2310758
"Mar",,0.2213664,0.1897717,0.211425,0.2038168,0.2019057,0.1781326,0.2334806,0.2269298,0.1881945,0.2208391,0.1984895,0.2095587,0.1660448,0.238049,0.183727,0.1879797,0.2030021,0.225138,0.256742,0.2414996,0.2464623,0.2261432,0.2252204,0.2340912,0.2250365
"Apr",,0.236421,0.1889713,0.1956654,0.1842369,0.1538933,0.2026477,0.1853051,0.2360188,0.1881969,0.2021917,0.1956118,0.2109265,0.1860277,0.1958688,0.2269162,0.1954287,0.2070759,0.2167305,0.1848279,0.2534879,0.2758532,0.2069365,0.210683,0.2290358,0.20727
"May",,0.2287504,0.1544718,0.1932481,0.2020371,0.1609084,0.213168,0.1445376,0.2187471,0.1728718,0.1668942,0.2442186,0.2986895,0.1639557,0.2207304,0.3345316,0.2103509,0.2209148,0.16049,0.2245449,0.2064414,0.2340825,0.1729934,0.237014,0.2045193,0.2079384
"Jun",,0.165134,0.1898368,0.3312203,0.2592193,0.1924634,0.3262508,0.166501,0.1954243,0.1692735,0.2155533,0.2003529,0.2829525,0.159042,0.2021034,0.6026511,0.3196591,0.2424417,0.1714061,0.2080275,0.2273685,0.2119316,0.159518,0.2240421,0.2160428,0.2275555
