"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",19.57401,22.04208,21.86742,20.2713,22.40834,19.82528,22.46795,23.81964,21.19075,22.7114,23.59082,21.78018,20.30085,22.96873,23.1921,23.23133,25.6368,23.59786,23.66856,23.38889,22.00279,23.25067,22.16699,21.23207,21.60805,21.83109,21.90151,21.40361,19.08807,19.92457,20.56732
"Feb",20.76793,19.1923,20.42397,20.85562,22.16763,20.9028,24.90019,22.2157,21.08305,22.27519,22.59378,22.94241,18.59255,25.23816,22.92468,22.55068,22.02141,23.10334,23.58106,24.09217,22.41669,22.11675,21.8831,22.70223,22.35106,21.62535,22.48415,20.96009,17.42249,19.98251,21.07203
"Mar",25.42609,28.93203,24.9002,26.37722,27.55096,26.23399,26.77571,28.82022,27.19517,27.73102,33.37505,29.66306,26.57785,34.82057,27.76681,28.16003,30.12119,32.66122,32.8107,31.42283,27.78283,29.55824,27.99565,30.72154,30.41375,29.46008,30.31809,28.26757,24.33272,28.65414,28.60084
"Apr",28.32276,30.39508,28.25274,28.05138,30.89116,25.14455,30.51076,27.71501,28.59796,29.71486,36.23478,30.20974,33.75964,38.15285,31.53756,31.77913,31.66111,39.05946,35.96947,33.29428,35.71046,33.02253,31.24422,33.4244,33.06938,32.97929,31.94986,33.26291,31.56211,30.76607,31.41254
"May",32.01053,30.42225,36.2547,34.0101,42.11185,37.38297,35.00728,29.70418,35.19122,37.48816,44.43845,36.3828,35.70157,46.50679,41.17615,38.54286,38.00358,45.75318,44.24667,37.98753,39.27331,35.79917,35.76274,40.65602,39.48752,48.17897,37.02213,38.94882,40.69954,33.69912,36.37005
"Jun",40.92215,44.15612,42.87282,41.25022,45.98442,43.1208,35.11333,33.18866,43.09129,40.26186,46.73689,45.78646,39.06078,49.43834,49.68876,43.62254,41.23363,50.61737,53.25511,48.08403,44.20753,44.89368,43.90186,43.33673,47.6896,55.76733,41.1255,46.08828,46.00797,39.64969,40.55889
"Jul",54.57319,64.51768,56.39103,57.56817,53.83103,44.73191,56.07189,48.59988,55.79195,61.31154,56.33102,48.52259,52.88025,66.74921,63.87931,58.00521,59.60131,65.40504,69.83616,65.86005,61.73333,61.8658,60.6819,61.14882,59.54634,65.52802,56.19331,52.0004,59.79474,53.78252,58.75914
"Aug",57.63772,70.3454,63.15826,68.73167,65.44855,63.63964,69.4175,68.32829,69.51216,55.5064,63.89101,62.98463,68.0118,67.82076,75.10137,61.26688,69.21506,64.12055,69.29106,77.85011,72.23397,77.47131,75.96008,70.09846,74.01476,71.44437,75.45715,65.67963,58.63456,65.31658,63.694
"Sep",66.00874,62.13525,65.38335,69.06958,63.60437,68.95461,68.25305,60.81446,67.58892,68.67017,65.05664,64.89094,67.00668,66.60464,66.04448,68.46822,73.36236,68.99868,68.71942,66.95712,71.63483,65.20856,66.47108,67.74832,68.33051,64.79156,66.66999,67.42128,62.31961,63.05151,62.19824
"Oct",46.99001,47.92957,49.10003,52.82694,45.8905,50.36385,57.05613,49.94525,51.59307,53.0002,48.13703,48.68715,47.80769,47.4208,46.38857,53.89491,57.21267,55.62788,53.15243,49.59784,52.56555,47.27192,48.97461,52.66031,50.06126,46.03003,47.63004,49.21032,45.66266,45.84126,48.3419
"Nov",34.23857,31.38068,32.61946,34.59768,30.4983,34.05197,34.87905,31.64977,33.48943,36.87669,34.35427,32.80174,32.50814,32.80035,38.31168,34.62637,38.00552,38.88128,34.88509,32.72976,34.2803,32.13062,33.04513,35.12891,33.22593,32.62151,32.73315,31.9258,28.61633,31.42731,33.30217
"Dec",26.36602,24.88893,24.86439,27.84524,24.73182,25.27246,23.68019,23.87964,26.62324,28.81917,25.22217,25.48031,26.43742,25.47039,28.1426,26.02195,30.1914,28.53092,27.04561,26.03766,24.11937,24.41831,24.84392,29.21239,25.34032,24.89041,24.8974,24.15082,24.01377,22.50661,25.04528
