"year","MIXEDET"
1983,49.2827212723223
1984,64.737281489502
1985,52.1077950312781
1986,53.9371679819322
1987,48.1293432297297
1988,33.9885579342199
1989,51.6118250672366
1990,39.9997033306399
1991,51.1767751464063
1992,59.7546746695737
1993,52.0145345263519
1994,39.8795882760533
1995,46.6517524469655
1996,68.2052637350916
1997,63.7452016939729
1998,54.6163643004278
1999,57.0968357537291
2000,45.9481
2001,41.47662
2002,39.25615
2003,61.01972
2004,58.65363
2005,64.08657
2006,56.24602
2007,69.22761
2008,55.62519
2009,48.02502
2010,61.64473
2011,57.268
2012,60.2235
2013,55.7880338968112
2014,62.15016
