"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,12.1,1.6,31.71,0,0,21.45,21.45
1984,16,0.31,0.31,7.66,100,0,92.19,192.19
1985,16,0.01,21.77,46.76,100,0,0,100
1986,16,25,34.99,34.99,0,0,11.79,11.79
1987,16,1.24,3.05,13.17,100,0,75.96,175.96
1988,16,0,0,50,100,0,0,100
1989,16,0.63,6.95,46.03,100,0,0,100
1990,16,0,0,38.08,100,0,2.71,102.71
1991,16,0,25,50,100,0,0,100
1992,16,0,15.98,40.98,100,0,0,100
1993,16,0,0,44.53,100,0,0,100
1994,16,0,25,59.82,100,0,0,100
1995,16,3.21,3.23,53.23,100,0,0,100
1996,16,14.75,15.96,50.66,0,0,0,0
1997,16,36.32,36.32,50,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,0,24.27,74.27,100,0,0,100
2000,16,2.11,6.84,35.63,100,0,9.91,109.91
2001,16,13.17,13.17,49.84,0,0,0,0
2002,16,7.68,24.85,53.66,0,0,0,0
2003,16,0,12.65,48.15,100,0,0,100
2004,16,4.83,4.83,22.73,100,0,47.84,147.84
2005,16,0,11.09,53.3,100,0,0,100
2006,16,0,25,50,100,0,0,100
2007,16,0,25,75,100,0,0,100
2008,16,12.36,10.3,58.93,0,0,0,0
2009,16,0,14.73,48.14,100,0,0,100
2010,16,0.53,0.53,50,100,0,0,100
2011,16,15.04,0,50,0,0,0,0
2012,16,0,0,50,100,0,0,100
2013,16,0,0,50,100,0,0,100
2014,16,0,0,25,100,0,41.18,141.18
2015,16,0,0,4.94,100,0,100,200
2016,16,8.79,0,50,0,0,0,0
2017,16,3.77,21.1,54.35,100,0,0,100
2018,16,9.84,23.15,61.57,0,0,0,0
2019,16,9.74,13.16,46.89,0,0,0,0
