"year","MIXEDET"
1983,16.7495508497898
1984,21.6705522769054
1985,16.4041439948348
1986,16.8741092437361
1987,18.0838486685849
1988,7.51762957289077
1989,18.6227762094446
1990,13.6108864163133
1991,16.7824615331643
1992,15.049533709164
1993,20.0369087536149
1994,7.80372989223147
1995,10.9960920663057
1996,25.4127834565794
1997,23.1015025772102
1998,17.4724554961104
1999,21.0075150457008
2000,12.2013
2001,16.32263
2002,8.661016
2003,20.08089
2004,12.9413
2005,23.74601
2006,21.45111
2007,29.86547
2008,16.85082
2009,18.07102
2010,23.88552
2011,17.80153
2012,22.17709
2013,29.5694269277437
2014,16.97609
