"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.265108,0.1460226,0.2178309,0.3291043,0.3085448,0.34868,0.2613236,0.1961113,0.2663901,0.2767596,0.2429658,0.2200135,0.2517233,0.2795044,0.2116447,0.2864165,0.343603,0.2520712,0.1927691,0.236324,0.2540899,0.2079215,0.1882244,0.2383004,0.3111755,0.282375
"Aug",0.4098066,0.3258583,0.2814496,0.3705969,0.3270248,0.373901,0.2283354,0.3345422,0.3445795,0.4223854,0.3177902,0.3128075,0.3617095,0.421261,0.4234439,0.3469653,0.4044127,0.3518575,0.3763731,0.3266732,0.4402367,0.3126231,0.3714004,0.3640611,0.4248111,0.3719907
"Sep",0.4544471,0.4012967,0.418246,0.3365629,0.3466384,0.3843583,0.317549,0.4734145,0.3443164,0.3925034,0.4409135,0.4634847,0.3533242,0.4775673,0.4681806,0.3945782,0.3846248,0.4680976,0.4813971,0.4341112,0.5118731,0.4186087,0.432287,0.3743594,0.4281258,0.4347474
"Oct",0.4098382,0.4328149,0.362926,0.3196679,0.3106139,0.3373448,0.3461412,0.3818738,0.3477228,0.3532766,0.3875808,0.3980298,0.3230706,0.4221621,0.3769454,0.3279448,0.335322,0.4018784,0.3720285,0.3590787,0.4213349,0.357198,0.3628949,0.3214319,0.3283843,0.3501943
"Nov",0.3181934,0.374381,0.3007044,0.2598577,0.2825862,0.294987,0.3243388,0.3215378,0.3344288,0.3073009,0.3295143,0.3147276,0.289384,0.3342417,0.3066417,0.2785138,0.3323129,0.3763283,0.3719103,0.3635599,0.413182,0.2978947,0.2993141,0.2665971,0.2965096,0.3122466
"Dec",0.2665956,0.3183079,0.2526528,0.2494702,0.2603599,0.2595003,0.2712893,0.319447,0.2897834,0.2929153,0.2933162,0.3106245,0.2842783,0.2871295,0.2703979,0.2462264,0.3569697,0.3560292,0.2968085,0.3695959,0.3720493,0.2592119,0.2978549,0.2530559,0.2715214,0.2788286
"Jan",,0.1986647,0.275864,0.225279,0.2754441,0.2287278,0.252174,0.2738405,0.2823572,0.2997499,0.2684691,0.2569081,0.3139452,0.2639056,0.258619,0.2586688,0.2220088,0.2733425,0.2926365,0.2670927,0.3049748,0.2887702,0.2813008,0.2431848,0.2484774,0.2462867
"Feb",,0.2018787,0.2406678,0.2450726,0.2229434,0.2025768,0.2381587,0.2670267,0.2388648,0.2490292,0.252339,0.2426953,0.2619155,0.2243406,0.2327884,0.2351786,0.2244775,0.2420679,0.2985686,0.254133,0.2453562,0.3078394,0.2480475,0.22852,0.2231321,0.2107698
"Mar",,0.2477002,0.1791945,0.2429615,0.2328227,0.2170114,0.1976592,0.2867897,0.2359999,0.2667053,0.2632823,0.2624558,0.2427062,0.2124383,0.2329409,0.226899,0.2311305,0.2103833,0.2404388,0.236077,0.2206187,0.2419192,0.2522556,0.2212375,0.2250797,0.2112539
"Apr",,0.2983706,0.2085345,0.2520765,0.245849,0.2546072,0.275439,0.2729061,0.2868208,0.2671061,0.2837235,0.2563165,0.2256463,0.2580468,0.2531814,0.281619,0.2763808,0.2221701,0.2215117,0.2044725,0.2800618,0.3087429,0.2246765,0.2401323,0.2323904,0.2487813
"May",,0.3180961,0.2360431,0.2269661,0.3098004,0.3419814,0.2735412,0.2810148,0.3026745,0.249866,0.2624487,0.2462234,0.3313829,0.2812712,0.3089442,0.278689,0.2517006,0.264596,0.2030266,0.2383044,0.3157193,0.2830901,0.2464852,0.2476885,0.2497701,0.275876
"Jun",,0.2395618,0.3081655,0.2305895,0.3116002,0.2588149,0.3108672,0.235503,0.2622226,0.2192526,0.2617763,0.2123713,0.2900977,0.2122203,0.2719408,0.293755,0.2751646,0.2343693,0.1864957,0.2061453,0.2477114,0.2250121,0.2073835,0.1927447,0.2378588,0.2170131
