"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",1.541848,1.156005,1.309259,0.7668192,1.457496,1.194437,1.546917,2.057775,1.388286,3.266606,2.590633
"Feb",1.48618,0.9238185,1.647809,1.50561,1.406504,2.029701,2.139579,2.784959,2.255437,2.248384,3.858065
"Mar",2.314633,3.730363,2.822547,2.756276,2.505533,3.747187,3.660669,4.720426,4.356978,3.396493,3.407561
"Apr",5.037872,5.598212,4.386121,6.353916,4.426452,4.542675,4.110734,5.461993,5.457147,7.195596,5.80867
"May",5.220968,5.729111,6.382588,6.606149,5.487422,5.901639,4.888743,8.489284,6.894454,11.00465,9.9471
"Jun",8.305985,6.668956,9.48675,7.302156,6.523849,8.783935,9.522966,7.695787,7.159404,8.070037,8.269081
"Jul",21.93126,12.3953,16.82723,14.31924,14.17877,16.90416,15.4516,15.04447,12.92514,16.9886,13.65011
"Aug",17.38825,14.28736,15.03771,16.82202,16.38771,17.08241,15.89904,16.59805,15.22747,19.28242,16.67635
"Sep",8.219553,5.935516,6.371259,8.810989,7.245094,7.443761,5.509994,10.34478,7.01216,7.629887,9.773824
"Oct",1.887717,1.830862,2.309047,1.579053,2.082335,2.480025,2.357442,2.97352,1.98639,2.206864,2.449516
"Nov",0.7849922,3.168291,1.518371,1.044446,1.631888,1.693277,1.70416,1.51258,1.564789,1.384418,1.499806
"Dec",1.064684,1.252029,1.306692,1.276232,0.9011314,1.575828,1.673177,1.556117,2.870533,1.478794,2.054343
