"year","MIXEDET"
1983,14.4512452555609
1984,11.5596934316097
1985,12.8021327584998
1986,20.79892797029
1987,12.9085496460632
1988,16.3779792895157
1989,22.0231520359412
1990,18.4799478978537
1991,18.5110992185126
1992,17.120358649676
1993,14.7282891698637
1994,16.4371117231251
1995,18.2758590600918
1996,24.7861492507051
1997,15.88103579816
1998,23.8723234457113
1999,22.3094379116986
2000,26.15109
2001,22.93026
2002,13.25089
2003,17.29107
2004,15.51569
2005,14.6761
2006,19.8814
2007,18.10025
2008,23.21101
2009,17.10139
2010,19.31156
2011,17.20193
2012,12.78149
2013,11.9059311590707
2014,22.65156
