"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",10.4493,11.78736,13.02432,12.41944,11.69023,8.720515,8.696391,16.07451,11.79613,12.23742,15.13452,13.11948,10.94963,18.47153,14.82492,11.3663,15.25358,14.77719,13.95214,14.56261,14.27402,13.71782,13.4369,13.7079,16.58401,13.22649,14.06106,15.15843,13.58972,13.05357,14.15758
"Feb",14.31154,9.643826,13.45758,9.387167,10.89527,11.7222,11.75538,12.43654,14.75274,12.90424,14.60167,11.91692,13.20266,16.90999,12.03705,16.061,13.74252,17.23213,15.64031,16.86312,14.78827,13.27354,13.68313,15.15544,14.88891,15.42414,13.43125,17.29951,14.80956,15.02002,15.78843
"Mar",16.92305,18.07441,18.88137,17.18324,15.8977,13.75651,19.42253,20.415,20.63569,19.46786,22.90607,21.59912,21.11272,18.25433,18.30946,21.92469,25.95724,22.46556,22.92711,25.06257,22.82795,22.04672,21.13272,21.13462,21.85984,21.82772,21.49628,20.41392,22.14874,23.58106,25.46709
"Apr",20.2703,20.82578,25.64087,17.40505,23.23695,20.92045,20.57759,23.26648,23.9558,22.77443,28.70699,26.62949,28.63632,28.96569,25.42511,26.2504,29.85868,26.51445,30.84246,27.91837,27.87426,30.26612,27.38458,23.09097,29.74288,23.9722,26.91895,29.46364,28.90783,29.5288,30.43855
"May",26.75601,26.94151,32.32024,35.66219,33.55034,33.31736,31.91767,36.58058,28.46032,30.49633,39.56157,36.25804,35.7548,40.88813,37.78302,34.18837,37.14606,35.36912,38.83731,33.77086,36.18071,35.05949,36.90321,41.8924,33.82337,32.25979,33.8868,35.79905,36.8522,35.32941,35.54745
"Jun",34.38892,31.0286,37.40892,27.86238,39.31527,32.90685,35.65321,33.4505,34.63247,34.70585,41.73903,34.61646,33.56102,34.82135,40.9939,35.83061,37.39463,38.21586,41.54611,37.24199,35.3979,33.44619,34.44511,37.44056,34.57359,32.53847,31.77634,36.98579,41.46698,42.28329,42.56538
"Jul",40.30398,46.0069,39.90369,40.44833,41.85029,29.60516,42.47485,36.6666,40.34212,38.33384,44.11368,29.93672,33.63633,50.34375,47.66522,41.14175,45.23851,49.31635,51.4038,43.96077,39.98603,40.70584,41.58912,39.82494,46.37249,40.82555,34.0493,41.08086,54.5733,55.27485,55.16086
"Aug",33.74813,45.98907,45.34289,50.96351,45.95413,46.24552,35.40347,47.25981,46.35859,31.56321,49.03943,48.49241,57.4809,49.40439,54.89186,40.24156,55.42881,56.28772,53.27263,47.60887,46.94832,46.46137,46.41242,48.09182,55.72373,53.78026,44.74877,56.83382,51.44017,56.86605,54.30321
"Sep",39.80202,36.6363,43.30405,44.63385,44.53493,44.77465,39.49655,37.914,41.83564,43.61651,45.60688,43.82867,47.52736,49.60155,45.20206,50.88872,48.15092,42.69439,49.44464,42.27157,48.19696,40.78732,43.76597,46.42824,44.68356,43.97838,48.28667,48.50203,50.9733,47.95422,46.65711
"Oct",28.8411,26.68854,27.61345,33.56651,27.69267,30.27542,34.47786,31.84019,31.86338,30.82807,29.04734,30.31944,31.68826,36.53472,29.90548,35.85444,34.69098,34.70585,37.09995,31.2042,33.65678,30.4504,33.30355,35.47202,32.40016,27.65208,29.76857,35.48223,32.52141,29.62157,26.94629
"Nov",17.24434,17.23723,15.73404,18.60155,18.84758,18.60649,19.94788,16.09182,15.06842,20.86064,19.04789,18.88241,19.44928,20.68217,24.92878,21.7446,22.59888,22.09322,22.48174,17.42559,16.90475,18.25023,19.86319,22.4605,20.2922,18.87006,18.56475,20.08569,20.1305,19.88241,18.17558
"Dec",15.23715,11.90505,14.38755,12.01825,12.95529,7.145778,11.78582,11.84708,12.73623,18.63804,14.18966,13.81989,16.98911,17.99041,16.05065,16.54349,18.46499,16.81033,17.68047,17.73583,10.84012,13.27056,16.72407,17.22374,15.79361,15.61293,16.96893,16.51234,16.29845,15.3765,14.34811
