"","MIXEDET"
"1983",21.9266329879751
"1984",-14.200286625572
"1985",31.9041569896866
"1986",40.8816550703851
"1987",32.2652265793121
"1988",23.8578057684767
"1989",15.1612922363745
"1990",4.89836594414653
"1991",28.3753509436596
"1992",33.2132632204104
"1993",5.6624197967382
"1994",8.8185462118737
"1995",28.2827669254902
"1996",22.2234028827009
"1997",21.9189558145161
"1998",10.0719996693831
"1999",21.8726503367061
"2000",3.5
"2001",7.9
"2002",1.7
"2003",23.8
"2004",5.4
"2005",27.1
"2006",20.9
"2007",47.8
"2008",34.5
"2009",24.3
"2010",42.5
"2011",13.6
"2012",28.2
"2013",2.3
"2014",17.6
