"","MIXEDET"
"1983",-3.26513312322485
"1984",-11.0270973360351
"1985",72.0610220326647
"1986",29.4528666198506
"1987",-6.08900689414999
"1988",39.4046298839819
"1989",34.6132746947665
"1990",7.10715266242868
"1991",10.3615621385722
"1992",11.6047566028365
"1993",35.3942406356337
"1994",50.5667094328889
"1995",45.5268650806704
"1996",52.0642886729869
"1997",5.8352911706977
"1998",62.7197822305342
"1999",54.7790156222514
"2000",27.7
"2001",5.9
"2002",1.3
"2003",40.8
"2004",4.2
"2005",42.7
"2006",44.4
"2007",73.4
"2008",66.7
"2009",36
"2010",70
"2011",20.8
"2012",31.9
"2013",37.3
"2014",51.3
