Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0.797142857142857,0,0,0,0,0,0,0,0,0,11.9,0,0,0.797142857142857,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0,0,1.23529411764706,1.70303605313093,0,24.9,17.1,1.70303605313093,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0354838709677419,0.0354838709677419,0.0354838709677419,0,0,40.5,3.74154447702835,3.74154447702835,0,3.74154447702835,0,0,3.70606060606061,0,0,0,0,0,0,0,14.5,0,0,0,27.5,0,0,0,0,0,0,0,0,0,40.3,0,0.6
6,1.9,17.1,5.34117647058823,18.7970588235294,1.9,0,1.9,2.94411764705882,26.8,2.39705882352941,1.9,1.9,2.94411764705882,0,1.9,1.9,1.9,0,1.9,1.9,29.4,0,1.9,1.9,1.9,0,1.9,1.9,1.9,0,1.9,1.9,1.9,14.5,1.9,37.5,1.9
7,13,17,5.50294117647059,12.5800840336134,103.8,0,21.8,5.50294117647059,55,0,0,7.07714285714286,0,28.5,28.5,33,15,0,45.4,19,0,0,0,0,0,0,12,0,0,0,0,0,0,42.8,0,0,0
8,24.9942857142857,11.3,16.4428571428571,25.4,28.2485714285714,0,30.7,0,22.7,26.5,10.2,30.7,7,31.9,35.5,12.8,0,0,28.3,7,10.8,8.1,59.5,60.9,15.7,0,0,7.5,0,0,9.7,37.6,9.7,7.8,15.6,0,15.8
9,13.2,11.6,28.4828571428571,0,40.2,0,55.2,28.6,35.7,19,24,13.7828571428572,27.2,52.8,42.1,24.1,10.7,10.7,16.3,47.9,32.4,0,10.7,48.9,31.4,0,33.1,23,0,41.2,14.7,56.2,17.9,21.6,39.6,0,44
10,35.3,0,27.5941176470588,60.4,57.7,44.2,11.9,24.8,10.5,16.2,60.6,15.5941176470588,32.5941176470588,38.3,89.2,0,0,54.1,0,82.3,11.9,68.8,0,43,21.5,10.5,54.4,12.6,40.6,58.1,37.4,50.7,0,43,0,37.7,54.5
11,71,18,32.6,55.5,34.5909090909091,40.4,45.7,0,19.7,0,36.8686868686869,9.6,61.8,59.4,6.2,45.9909090909091,10.5,46.7,0,17.4,74.9,61,51.2909090909091,43.1,45.3,23.2,40.8,46.5,0,107.4,32.8,23.2,0,75.9,0,40.4,86.4
12,75.7,0,60.1,26.5,16,44.1,25.3,85,0,33.3,75.1,27.2,24.1,21.4,29.3,31.1,14.3,39.4,21.9,0,38.2,24.3,49.3,29.2,30.3,17,6.8,17.1,24.2,57.6,37.6,40.8,0,25,50.7,43.3,23.6
13,14.6,30.6,21.1,17.4,23.1,0,0,0,50.4,48.1,20.2657142857143,11.3,15.4,11,0,11.3,0,41.6,32.6,14.1,12.1,0,44.4,5.9,0,62.4,0,61,0,18.4,10.1,21.2,54.8,49.8,32.4,14.4657142857143,0
14,30.2,27,4.1,14.4,46.6,5.8,11.5,0,10.9,13.2,37.5,10.4,18.5,43.6,0,14.2,0,0,0,4.2,5.2,0,25.2,0,9.4,12.5,15.9,6.3,32.3,7.1,9.1,21.7,8,4.1,61.9,10.2,11.8
15,41.2,11.8,0,19.6714285714286,47.4,3.5,6.47142857142858,0,14.4,5,7.8,0,23,57.8,22.9,0,4,4.5,0,0,3.5,0,21.2,3.5,9.1,0,0,0,33.3,4.3,0,22.5,22.1,0,8.8,0,22.3
16,2.4,0.7,0,0.468571428571428,0.6,0,0.835238095238094,0,0,0,0.6,0.6,1.5,3.2,6.1,0,0,0.8,0,1.2,0,0,0.8,0,0.9,2.6,0,0,0.6,0,0,0,0,2,0,2,3
17,0.6,0,0,0.7,0,1.2,0.6,0,0.6,0,0.6,0.8,0,2.4,1.6,0.7,0.7,0,0.9,0,0,0,0,0.6,1.6,0,0,1.3,1.1,0,0.7,0,0,0,0.8,0.7,0
18,0,0,0,43.9,5.50000000000001,13.4,7.9,0,0,0,0,0,7.9,0,11.3,0,15.3,19,22.2,0,0,20.3,15.4,5,17.1,0,7.2,19.1,0,5.5,0,0,0,0,0,18.2,7.2
19,15.3888888888889,0,34.5,37.4,12,20.3,35.3,34.5,51,13.5,13.4,51,0,81.3,98.1,54.1,59.6,35.8,0,13.4,66.5,11.8,34.6,42.7,140.1,20.9,47.4,16,13.4,38.7,18.6,0,9.7,0,52.6,37.5,50.5
20,15.8,7.7,56.4,8.8,11,149.6,75.6,66.7,24.2,13.3,53.8,44.6,31.8,71.4,38,72.9,76.1,37,58.6,14.5,24.6,70.7,48.2,20.8,91.2,50.5,40.6,168.5,60.3,66.7,107.3,9.6,21.2,50,19.2,28,42.6
21,34.8,15,10.9,60.55,34.2944444444445,127.5,21.4,52.4,57.2,53.9,39.1,74.2,86,22.7,5.8,118.4,65.8,98,112.5,48.1,65.8,13.5,62.9,46.5,57.3,52,62.4,80.7,70.9,107.4,108.8,76.4,0,121.1,26.5,40.5,68.2
22,19.9,7.8,19.3,68.2536507936508,45.6314285714286,90.5,44,28,30.2,87.9,19.1,38.7,102.1,66,32,83.3,36.5,151.4,99.7,76.6,67.7,83.8,39.7,110.5,83.4,53.2,12.6,83.8,118.2,96.4,74.7,90.5,81.6,104.7,64,94.4,119.3
23,55,30.9969696969697,16.1,30.9969696969697,54.4969696969697,59.7,29.7,18.6,33,125,40.5969696969697,126.3,75.8,33.9,45.4,120.4,95.1,109.1,110,44.9,112.1,71.7,50.2,24.3,52.7,33.4,37.6,116.8,48.4,45.2,102.1,45.3,18.8,47.8,117,56.1,66.3
24,51.2,10.2,48,65.3,0,61.5,17.1,18.5,0,55.2,45.9,66,48.5,103.1,18.5,133.3,114.4,61.1,57.9,28.6,57.9,14,121,95.5,53.1,63.8,103.9,122.6,59.6,52.5,42.7,81.1,76.1416666666667,18.8,99.8,55.1,35.5
25,2.4,19.3502521008403,17.8,20.5588235294118,3.4,23.2,16.5914285714286,9.9,5.1,9.6,19.2,10,10.4,38.8,3.4,32.9,26.8,15.8,20.7,36.4,13.4,11.1,15.7,36,31.7,47.5,10,22.5,13.1,9,24.3,24.5,21.0588235294118,19.8,28.8,36.2,9
26,7.5,14.6,9.24857142857143,9.6,7.5,17.2485714285714,6.5,6.8,5.6,14.4,2.2,2.8,3.3,5.6,8.7,11.6,10.7,10.3,13.3,16.2,6.5,11.7,4,4.8,9.4,8.4,2.6,11.3,0,2,7.2,20.6,14.6,4.5,11.6,22.3,12.2
27,0,4,4.2,2.3,4,6.9,6.2735294117647,9.5,7.8,8.4,9.3,4.9,3.17352941176471,0,7.8,11.7,8.2,15.4,6.2,5.6,16.5,1.5,8.5,5.67352941176471,0,11.3,1.4,3.1,6.6,5.7,4.4,6.4,3.1,7.2,11,3.9,10.2
28,7.31428571428571,0,4.7,0,8.4,11.6,0,3.7,22.5,9.7,4.61428571428571,3,0,3.9,5.1,24.7,24.8,12.9,2.4,0,2.7,8.3,2.4,0,4.9,4.3,4,4.5,3,0,23.4,28.5,2.4,0,6.9,3,29.5
29,2.52,0,0,0,0,0,0,0,5.2,4.6,5.08,0,2.56,0,32.1,13.8,30.4,12,0,0,0,0,0,0,0,4.4,24.8,0,0,0,4.8,4.3,0,0,16.5,15.7,9.2
30,1.94285714285714,0,4.2,0,0,0,0,0,0,0,7.8,0,0,1.94285714285714,52.8,0,0,18.8,0,0,8.9,0,0,28.9,0,25.6,0,0,0,13.6,0,0,5.9,0,0,4.8,0
31,0,0,3.11428571428572,3.11428571428572,0,0,10.8416666666667,0,0,53,0,0,0,0,0,0,0,0,0,16.3,0,0,0,0,0,90.2,0,0,99.9,0,0,0,0,176.6,0,33.8,29.5
32,4.60606060606061,8.32370766488415,0,0,0,8.32370766488415,0,0,0,0,3.71764705882353,0,4.60606060606061,53.2,59.6,0,0,0,0,0,0,0,46.2,0,0,0,0,0,0,0,18.4,0,47.2,0,12.5,41.3,0
33,0,8.17504201680672,0,3.42647058823529,0,8.17504201680672,0,0,35.9,0,0,0,0,32.9,18.9,0,0,0,0,0,0,26.9,0,0,0,0,0,15.9,0,0,21.9,44.5,0,41.3,0,0,44.5
34,0,17.5,0,0,0,3.63546218487395,12.4411764705882,0,26.8,0,1.89428571428571,0,0,0,0,0,0,0,0,0,10.6,0,4.2,36.5,0,0,3.8,0,0,11.6,0,3.8,1.74117647058824,0,0,0,0
35,0,0,1.99983193277311,0,0,1.99983193277311,6.8,0,0,13.4,0,0,42.3,0,0,0,0,0,0,0,0,0,0,1.29411764705882,0,0,6.2,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,1.07285714285714,0,0,15.6,0.0228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
