"","MIXEDET"
"1983",117.412154043828
"1984",29.1111807440441
"1985",97.2459200392892
"1986",124.858956297884
"1987",97.6048429239255
"1988",53.6242115586813
"1989",107.29090540915
"1990",83.4572538762074
"1991",81.1958094900699
"1992",91.7249117210039
"1993",86.5683095407529
"1994",21.1279823656019
"1995",95.8246272730257
"1996",118.235479191443
"1997",110.247216128564
"1998",57.8540183439916
"1999",100.950213493217
"2000",83.1
"2001",28.2
"2002",40.3
"2003",103.5
"2004",88.8
"2005",111.9
"2006",125.9
"2007",119.5
"2008",123.2
"2009",81.8
"2010",74.3
"2011",99.5
"2012",107
"2013",48.2
"2014",98.1
