"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",3.878912,4.969467,5.180347,4.506248,4.994259,5.417183,4.59162,4.000745,3.462651,4.381318,7.385983
"Feb",5.032113,5.854134,5.993043,6.169021,5.886138,7.56002,6.635519,5.686224,5.86636,5.924634,7.250181
"Mar",7.734813,9.92341,6.858771,8.379669,7.22368,9.574652,8.937294,7.661987,8.237428,7.931569,7.110117
"Apr",9.404759,11.58262,8.351542,8.683961,9.357087,10.42394,11.50935,10.17751,9.327067,9.260141,11.90265
"May",9.921076,10.79184,11.82514,10.74014,10.52616,12.29761,11.48922,12.98133,10.76298,13.20176,15.50197
"Jun",14.54767,14.69193,16.21197,14.56138,13.37421,16.63106,16.74819,14.91891,13.52196,15.67596,15.37619
"Jul",30.64431,25.56687,29.60606,25.01869,25.54218,30.29421,26.68706,28.73899,24.04742,29.47004,26.04358
"Aug",31.72573,26.8805,28.128,32.02046,31.02175,33.37693,30.67518,33.09539,29.21277,33.46377,31.74655
"Sep",19.44065,13.64922,11.99431,21.50773,19.37856,18.3294,16.06672,21.70551,16.43528,19.36263,19.7273
"Oct",4.394985,3.319065,2.278811,5.738238,5.603692,4.870132,5.089461,7.398986,4.67674,6.011644,5.332522
"Nov",2.921683,2.681117,2.851649,3.906316,3.229619,3.60621,3.572212,3.684537,3.945549,3.961408,4.250114
"Dec",3.831601,3.557396,3.794364,4.071445,3.781822,3.591854,3.010315,2.695714,3.809887,5.19575,5.728471
