"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.280606,0.1556319,0.1660428,0.1846809,0.2018124,0.3826043,0.2565094,0.1813759,0.2527154,0.2299901,0.1715903,0.217617,0.2686487,0.2861825,0.2162433,0.3663409,0.3526124,0.2103161,0.2369299,0.2523136,0.3433841,0.2621194,0.26013,0.2579618,0.2899166,0.2783397
"Aug",0.3965407,0.3639664,0.3237256,0.2712953,0.3507314,0.4833793,0.3404732,0.3689001,0.4151748,0.4003542,0.3308407,0.3567248,0.3518024,0.4278069,0.4696051,0.40956,0.4192127,0.3298927,0.4168577,0.361576,0.4420758,0.3823272,0.4093554,0.4038868,0.409487,0.3592261
"Sep",0.4892268,0.4513527,0.4398309,0.3343369,0.4144773,0.4724549,0.4155798,0.4758565,0.3828768,0.4188694,0.3572998,0.4329728,0.3356857,0.5339487,0.522952,0.3969032,0.3697038,0.4741703,0.4916664,0.4108769,0.4928539,0.4542518,0.4840648,0.4249735,0.4589166,0.455239
"Oct",0.3841231,0.4383038,0.3740038,0.2980151,0.3256406,0.3843952,0.3757583,0.355955,0.350565,0.3256786,0.275303,0.3328482,0.3369451,0.5012413,0.3985606,0.3543501,0.3051574,0.4267622,0.3954794,0.3706365,0.3980427,0.3382341,0.3796347,0.3236893,0.338801,0.3676247
"Nov",0.2882579,0.30269,0.3005564,0.2266565,0.2646468,0.2856982,0.2934711,0.29998,0.287371,0.2573777,0.2407267,0.2858804,0.2632925,0.3621337,0.3136404,0.2921122,0.3015941,0.346902,0.3489327,0.3594318,0.3474019,0.259801,0.3040327,0.2418746,0.2715392,0.2758042
"Dec",0.2470319,0.2412892,0.2391032,0.2069614,0.2399614,0.2490619,0.2391166,0.2912619,0.2146149,0.2227158,0.2131111,0.2327637,0.2436604,0.2901913,0.2377891,0.2373609,0.2861774,0.3206165,0.2699314,0.306549,0.303145,0.2324157,0.2758757,0.2152941,0.2389505,0.2281658
"Jan",,0.1907018,0.2097609,0.2007612,0.2094347,0.216892,0.2221946,0.2125683,0.2460338,0.1969555,0.1850984,0.1845523,0.2135857,0.2145059,0.2503488,0.2068388,0.1948344,0.2240295,0.2594108,0.2371377,0.2735048,0.249165,0.225988,0.2151569,0.2172557,0.2070257
"Feb",,0.1719775,0.1957767,0.2044205,0.1645858,0.1878918,0.1963972,0.199519,0.1941599,0.1564238,0.172139,0.1657026,0.1914651,0.1697009,0.2003226,0.1899659,0.1877332,0.1860004,0.2268659,0.2055935,0.2300253,0.2401554,0.1901664,0.197986,0.1900264,0.1692872
"Mar",,0.1647129,0.1576376,0.1817731,0.1657543,0.1762256,0.1586987,0.1851802,0.1788993,0.1656424,0.1629692,0.1585441,0.1582448,0.1622612,0.1879037,0.1793619,0.1774696,0.1641261,0.1857266,0.185449,0.1880281,0.1997394,0.1878202,0.1868494,0.1802393,0.1699394
"Apr",,0.197201,0.1559217,0.1773539,0.1571696,0.1427516,0.1564743,0.1630641,0.1873977,0.1615664,0.1502576,0.1593357,0.1616491,0.1426793,0.1774533,0.2127206,0.1964105,0.1637624,0.160638,0.1598096,0.1918761,0.2386628,0.1523249,0.1719265,0.1740432,0.1765879
"May",,0.2092927,0.1627242,0.1506574,0.130579,0.1648606,0.1463905,0.1328508,0.1701654,0.1475047,0.1352453,0.1626522,0.2048982,0.147779,0.1705906,0.1989785,0.1694106,0.1878556,0.1499867,0.2025961,0.1699733,0.2123053,0.1476907,0.1745633,0.1605561,0.1918923
"Jun",,0.1505794,0.2071568,0.1332733,0.1536482,0.2015325,0.1975569,0.1162503,0.1523038,0.1344381,0.1591323,0.1248685,0.2133525,0.1361986,0.1589501,0.2480142,0.196467,0.1773392,0.1417039,0.1844219,0.1864716,0.1696181,0.1364281,0.1411879,0.1730324,0.1835028
