"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",14.03195,15.49084,16.43277,17.21379,17.60514,17.34514,17.50356,17.89477,15.17115,16.55716,17.09703,18.48564,18.05589,18.9477,19.53408,17.57638,20.56604,18.46505,18.57126,18.64384,17.37931,18.51184,16.72053,17.63624,17.87776,15.63804,17.34843,18.10688,16.87281,16.68045,17.03582
"Feb",15.94859,13.00688,15.38687,15.55868,15.68843,16.32607,21.39635,15.5188,15.04793,17.72421,16.50152,17.03326,14.24105,19.95745,18.931,15.74015,17.78857,19.86123,19.86092,21.41717,17.80364,16.16374,16.86693,17.95638,17.93152,17.06758,17.38597,19.39518,17.21606,17.76979,17.6309
"Mar",19.65561,19.73249,20.01881,20.83019,20.49005,19.09641,22.21781,19.55404,22.43749,21.46971,23.44446,26.96341,23.05354,25.17737,18.25163,20.28383,25.87362,25.76688,23.03211,24.98969,21.8569,23.66534,23.78037,23.79634,24.58577,22.82982,23.16114,24.40614,23.31589,25.09768,25.84595
"Apr",21.65527,25.01358,20.41441,21.35527,24.94884,19.62994,23.48938,19.93448,24.72705,21.68299,25.00527,25.25526,28.55411,27.47794,20.74151,22.72412,27.83807,23.70993,26.61101,25.8646,26.40617,27.3536,26.69538,24.82577,27.49922,24.19509,26.40595,25.79844,28.22231,27.4669,29.6328
"May",22.39854,26.04169,25.1966,28.23616,31.26093,28.98026,27.22394,25.68703,29.77306,28.71304,31.04128,28.85146,26.19741,37.43525,26.7774,24.98968,30.16964,30.32629,29.32823,29.8374,30.11324,30.96578,29.27628,31.86636,28.41991,27.73727,29.57398,29.44006,29.00275,33.35548,28.57397
"Jun",25.9928,21.4011,25.8218,22.11869,30.14589,25.03255,27.03995,24.20129,29.20281,25.42435,27.91223,23.26473,29.52522,30.17205,28.69897,23.60728,27.10707,29.32359,26.87267,28.27699,26.05371,25.39157,28.17582,30.46034,26.23072,25.08171,27.72556,27.17501,30.67246,31.53219,27.72235
"Jul",28.16051,30.33804,29.02637,27.98637,37.37264,18.03215,32.91822,24.5885,27.82557,30.40597,29.62313,19.59681,21.19785,31.62704,32.34669,28.21582,32.62971,35.39824,32.78889,30.29012,27.29475,28.7741,28.68037,28.14349,30.85721,26.29746,24.70705,27.89288,36.34602,33.74397,31.02695
"Aug",24.68001,32.57776,34.45194,45.12059,36.91822,33.75239,32.06122,43.36921,37.89011,24.92326,39.03442,34.42817,43.51246,38.56586,43.19962,31.07422,43.73559,37.93362,33.18293,34.78327,31.52177,38.20094,34.23422,36.18225,41.2049,35.09707,40.88367,37.08183,37.35825,44.59558,39.87217
"Sep",40.69441,37.8823,42.14427,41.93159,41.9996,40.60081,35.88197,34.59092,41.18103,40.63104,41.93852,41.40662,44.88314,47.78181,42.10004,46.23909,44.62377,39.18667,48.21195,43.44767,45.18061,42.26736,39.09489,42.64614,41.28122,38.8602,52.10035,48.51027,42.76509,46.25218,49.61091
"Oct",31.61328,36.54489,35.38824,39.49651,34.37917,32.97264,39.27701,37.32994,35.44923,29.60776,33.40737,39.37175,37.07684,36.96841,33.34053,35.22458,36.90564,34.45118,37.64416,37.35374,40.87965,35.4859,37.60794,42.09551,41.47204,33.76523,34.88603,40.10887,40.98178,40.09752,37.40469
"Nov",22.61747,20.82167,24.06871,25.04926,25.44385,24.36883,25.08271,19.96255,21.56308,23.96061,26.13976,25.40354,24.9766,25.0202,28.02463,26.96996,28.79281,28.65477,28.02227,23.91742,25.16064,22.7951,25.78447,27.08476,26.47349,24.58832,24.35168,24.98647,22.95563,24.47324,24.42047
"Dec",20.06601,15.94428,19.59546,18.54298,18.40738,16.80844,17.7305,16.46025,18.83291,20.41379,20.18275,19.53796,19.25998,20.20524,20.21638,20.91707,23.5821,22.33448,21.5251,21.81555,18.73241,18.83784,19.79855,19.65816,19.92474,18.60538,18.896,19.37294,19.25362,18.63091,18.1407
