"year","MIXEDET"
1983,36.2689784881849
1984,40.3602266558226
1985,37.8957979296763
1986,35.9417958748972
1987,53.5771717082739
1988,17.2393282463169
1989,45.2079930228419
1990,29.5577141807892
1991,35.6396770956583
1992,40.487856809266
1993,39.0170193394936
1994,20.1790867607695
1995,23.1871977701768
1996,42.782061894871
1997,44.1341749513343
1998,36.3728975782329
1999,44.6659265489723
2000,32.02347
2001,34.70712
2002,23.30807
2003,44.9263
2004,35.62601
2005,43.84896
2006,40.68311
2007,51.34848
2008,30.70596
2009,38.85456
2010,50.93228
2011,29.79748
2012,39.28371
2013,41.6545839207821
2014,36.01856
