"year","MIXEDET"
1983,24.6614901144086
1984,31.0406447751946
1985,29.5444905297457
1986,34.8586353461986
1987,28.2392345193233
1988,26.4198545592219
1989,34.5747068830715
1990,32.0561255951398
1991,29.6233825432588
1992,22.0673023632888
1993,26.9821881390637
1994,34.6972553231474
1995,31.7287347340123
1996,31.5884779537988
1997,26.8957290116131
1998,29.3327924328191
1999,31.5072834680106
2000,38.47278
2001,36.08403
2002,25.64748
2003,32.03529
2004,29.86988
2005,28.63793
2006,37.09527
2007,31.15239
2008,32.20184
2009,27.15595
2010,30.29066
2011,30.75903
2012,27.21586
2013,32.1528164954531
2014,38.86705
