"","MIXEDET"
"1983",31.0541681090513
"1984",26.7217031101621
"1985",78.3083984968987
"1986",62.4527652517656
"1987",130.132824043905
"1988",52.2685873456655
"1989",27.1790627346972
"1990",40.3854804183531
"1991",78.6750817048226
"1992",39.0238930309672
"1993",74.5377468205101
"1994",32.0474005681817
"1995",69.9102520058443
"1996",116.663542749476
"1997",71.8545203971124
"1998",35.5324762954971
"1999",54.1450069496791
"2000",24.9
"2001",17.8
"2002",8
"2003",81.9
"2004",36.7
"2005",90.4
"2006",67.3
"2007",85.7
"2008",88.2
"2009",55.1
"2010",77.5
"2011",50.6
"2012",75.5
"2013",21.8
"2014",62
