"","MIXEDET"
"1983",-4.95103956380309
"1984",6.26365868663346
"1985",43.7355765714548
"1986",30.6882686679064
"1987",-6.80228015031346
"1988",35.5650785962727
"1989",51.7626453570293
"1990",10.0858997895159
"1991",12.8918126014196
"1992",36.0047903726508
"1993",44.0371149662853
"1994",52.8990960473914
"1995",44.8745283015142
"1996",37.7596865603801
"1997",30.6109176720453
"1998",73.5188997097599
"1999",72.9239784843298
"2000",30.7
"2001",17.8
"2002",6.8
"2003",40.7
"2004",15.6
"2005",37.3
"2006",66.6
"2007",78.1
"2008",59.3
"2009",39.8
"2010",69.7
"2011",30.4
"2012",39.6
"2013",54.7
"2014",52.6
