Time,NDVI
Oct 1981,0.4066694
Oct 1982,0.3804839
Oct 1983,0.3259274
Oct 1984,0.2313468
Oct 1985,0.3076048
Oct 1986,0.3543791
Oct 1987,0.3234113
Oct 1988,0.2808468
Oct 1989,0.3166049
Oct 1990,0.2905564
Oct 1991,0.2891613
Oct 1992,0.3546774
Oct 1993,0.3049758
Oct 1994,0.3937904
Oct 1995,0.3601774
Oct 1996,0.3213145
Oct 1997,0.3292661
Oct 1998,0.3633387
Oct 1999,0.3764032
Oct 2000,0.3776936
Oct 2001,0.3832742
Oct 2002,0.3418307
Oct 2003,0.3743387
Oct 2004,0.3210242
Oct 2005,0.317621
Oct 2006,0.3544758
