"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,26.68,1.47,38.05,0,0,24.84,24.84
1984,16,12.81,17.66,36.9,0,0,28.43,28.43
1985,16,13.61,15.05,46.37,0,0,0,0
1986,16,25.38,50,75,0,0,0,0
1987,16,58.38,22.14,17.96,0,0,87.63,87.63
1988,16,1.07,10.8,60.8,100,0,0,100
1989,16,0.24,0,50,100,0,0,100
1990,16,0,0,46.4,100,0,0,100
1991,16,32.19,32.19,75,0,0,0,0
1992,16,0,0,33.45,100,0,39.23,139.23
1993,16,31.12,30.11,73.66,0,0,0,0
1994,16,37.74,50,75,0,0,0,0
1995,16,0,25,75,100,0,0,100
1996,16,32.7,39,75,0,0,0,0
1997,16,36.67,31.83,63.99,0,0,0,0
1998,16,24.5,37.05,72.47,0,0,0,0
1999,16,3.99,28.99,75,100,0,0,100
2000,16,25,34.65,42.79,0,0,10.02,10.02
2001,16,0,22.5,69.73,100,0,0,100
2002,16,2.09,0,28.3,100,0,55.31,155.31
2003,16,10.26,17.02,32.55,0,0,42.05,42.05
2004,16,5.94,6.78,45.36,0,0,2.01,2.01
2005,16,0,10.12,53.18,100,0,0,100
2006,16,27.17,42.33,66.33,0,0,0,0
2007,16,2.88,25,75,100,0,0,100
2008,16,8.77,25,75,0,0,0,0
2009,16,0,6.98,56.98,100,0,0,100
2010,16,6.67,26.77,75,0,0,0,0
2011,16,24.1,31.6,65.28,0,0,0,0
2012,16,11.52,36.52,75,0,0,0,0
2013,16,1.3,14.69,64.3,100,0,0,100
2014,16,10.13,30.17,70.51,0,0,0,0
2015,16,26.34,27.95,67.99,0,0,0,0
2016,16,18.76,16.33,59.43,0,0,0,0
2017,16,6.26,31.26,57.73,0,0,0,0
2018,16,20.03,29.83,59.01,0,0,0,0
2019,16,4.23,8.98,44.6,100,0,4.39,104.39
