"","MIXEDET"
"1983",51.9479229942141
"1984",-1.32502167701233
"1985",14.8534742312357
"1986",17.0984109358451
"1987",55.019831546082
"1988",37.8115305667763
"1989",43.3143498582851
"1990",9.4616217715561
"1991",12.097283249819
"1992",42.9005900039668
"1993",35.5435338787123
"1994",25.0766920581399
"1995",16.1344488413036
"1996",44.0411875873244
"1997",2.72892839487016
"1998",25.0154311949667
"1999",44.3881830618998
"2000",13.9
"2001",16.7
"2002",5.6
"2003",43.3
"2004",19.9
"2005",39.7
"2006",21
"2007",63.2
"2008",41.3
"2009",26.8
"2010",49.2
"2011",12.7
"2012",42.9
"2013",6.4
"2014",20.2
