"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,29.38,4.24,42.5,0,0,29.7,29.7
1984,16,7.23,7.85,40.44,0,0,36.14,36.14
1985,16,3.85,26.48,75,100,0,0,100
1986,16,50,50,75,0,0,0,0
1987,16,68.42,23.2,24.5,0,0,85.93,85.93
1988,16,7.56,25,75,0,0,0,0
1989,16,17.39,37.22,73.08,0,0,0,0
1990,16,14.02,14.02,50,0,0,6.25,6.25
1991,16,20.81,12.1,62.1,0,0,0,0
1992,16,0,4.83,54.83,100,0,0,100
1993,16,35.13,26.55,67.39,0,0,0,0
1994,16,54.24,50,75,0,0,0,0
1995,16,0,25,75,100,0,0,100
1996,16,47.1,36.13,71.92,0,0,0,0
1997,16,28.53,32.52,51.5,0,0,1.56,1.56
1998,16,33.55,50,75,0,0,0,0
1999,16,15.06,37.53,75,0,0,0,0
2000,16,27.46,50,75,0,0,0,0
2001,16,0,25,75,100,0,0,100
2002,16,0,0,29.39,100,0,70.65,170.65
2003,16,24.92,36.37,36.45,0,0,48.6,48.6
2004,16,7.41,11.59,49.87,0,0,6.65,6.65
2005,16,10.07,32.88,72.82,0,0,0,0
2006,16,17.57,19.12,26.99,0,0,78.15,78.15
2007,16,9.03,25,75,0,0,0,0
2008,16,1.34,25,75,100,0,0,100
2009,16,6.13,25.52,63.72,43.49,0,0,43.49
2010,16,33.76,18.22,65.59,0,0,0,0
2011,16,46.28,46.28,75,0,0,0,0
2012,16,28.19,47.92,75,0,0,0,0
2013,16,9.41,27.23,67.82,0,0,0,0
2014,16,2.09,16.75,59.9,100,0,0,100
2015,16,21.31,26.01,73.76,0,0,0,0
2016,16,42.12,43.68,68.68,0,0,0,0
2017,16,13.19,32.4,75,0,0,0,0
2018,16,35.48,41.12,68.71,0,0,0,0
2019,16,49.64,21.26,64.57,0,0,0,0
