"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,27.67,3.12,36.66,0,0,49.42,49.42
1984,16,7.56,8.49,28.82,0,0,78.44,78.44
1985,16,4.57,18.53,53.77,100,0,0,100
1986,16,25,50,75,0,0,0,0
1987,16,41.64,25.29,53.76,0,0,0,0
1988,16,0.41,25,75,100,0,0,100
1989,16,51.63,39.8,42.25,0,0,28.7,28.7
1990,16,5.59,15.43,55.64,41.19,0,0,41.19
1991,16,34.39,36.8,75,0,0,0,0
1992,16,5.01,5.01,50,98.78,0,0,98.78
1993,16,26.96,25.4,73.75,0,0,0,0
1994,16,31.06,46.56,71.56,0,0,0,0
1995,16,2.16,12.07,62.07,100,0,0,100
1996,16,53.22,35.14,71.46,0,0,0,0
1997,16,17.88,31.32,57.9,0,0,0,0
1998,16,15.41,17.32,61.12,0,0,0,0
1999,16,14.28,39.28,75,0,0,0,0
2000,16,13.18,35.7,75,0,0,0,0
2001,16,14.3,14.3,50,0,0,0,0
2002,16,6.23,8.24,43.15,0,0,25.38,25.38
2003,16,30.85,38.41,56.41,0,0,0,0
2004,16,6.78,23.87,47.47,0,0,9.36,9.36
2005,16,12.57,37.57,75,0,0,0,0
2006,16,20.27,45.27,51.09,0,0,0,0
2007,16,13.71,27.33,75,0,0,0,0
2008,16,19.47,25,75,0,0,0,0
2009,16,0,25,75,100,0,0,100
2010,16,14.81,38.25,75,0,0,0,0
2011,16,30.64,19.26,53.88,0,0,0,0
2012,16,6.52,25.32,68.8,0,0,0,0
2013,16,22.31,42.33,70.26,0,0,0,0
2014,16,3.46,3.25,42.97,100,0,26.03,126.03
2015,16,12,22.85,48,0,0,7.4,7.4
2016,16,7.13,32.13,75,0,0,0,0
2017,16,1.66,25,63.61,100,0,0,100
2018,16,5.21,25,72.25,78.55,0,0,78.55
2019,16,57.91,30.27,67.55,0,0,0,0
