"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3083208,0.2591836,0.1422877,0.2248459,0.2658637,0.4171587,0.3443788,0.2040783,0.3734445,0.2811232,0.2292506,0.266396,0.3353383,0.4227685,0.2979926,0.4614043,0.4030963,0.2702794,0.2731259,0.2647514,0.4015354,0.3519621,0.2943915,0.329166,0.3482137,0.3440435
"Aug",0.4406205,0.4355827,0.3617076,0.3663766,0.378999,0.4896177,0.4306848,0.3558487,0.4722736,0.4478102,0.347905,0.3941174,0.3886478,0.4939963,0.5003986,0.4242078,0.4757167,0.3799905,0.4554428,0.3851152,0.4404046,0.478047,0.4563994,0.4600332,0.4499449,0.3519308
"Sep",0.5504875,0.4391484,0.5053725,0.4253335,0.4312781,0.5120305,0.4174383,0.5226594,0.3700572,0.4768501,0.3789647,0.473464,0.3172596,0.5565222,0.5494364,0.4236489,0.4096977,0.5118778,0.513057,0.421738,0.5241604,0.5121342,0.5049638,0.4822821,0.5011748,0.5027428
"Oct",0.4560505,0.4616943,0.4165959,0.3395461,0.3647983,0.4316329,0.3828702,0.415686,0.3616134,0.3870894,0.3113005,0.3943648,0.3493252,0.4865248,0.4255601,0.3891729,0.3549857,0.4729567,0.4388517,0.4064702,0.432578,0.3895442,0.4336646,0.3883272,0.4060528,0.4192412
"Nov",0.3210524,0.3191313,0.3344106,0.2444742,0.3051972,0.3154651,0.3157372,0.3400491,0.3169983,0.3025186,0.2744921,0.323149,0.2891156,0.3642437,0.339547,0.3322327,0.3398834,0.4005682,0.4090763,0.3702132,0.3722366,0.2930813,0.3515182,0.2889151,0.315596,0.3200704
"Dec",0.259101,0.2569189,0.2649281,0.2239972,0.2582431,0.2759731,0.2506314,0.3081053,0.2354594,0.2586134,0.2484293,0.2583598,0.2678921,0.2933346,0.2813706,0.2736397,0.3115522,0.32219,0.3110425,0.3294637,0.3233278,0.2629083,0.307214,0.2534874,0.2795168,0.263018
"Jan",,0.1960283,0.2256515,0.224727,0.2307238,0.2329681,0.2465155,0.2392998,0.27014,0.2149386,0.2146752,0.213213,0.2420427,0.2273575,0.255873,0.2339426,0.2373521,0.2481663,0.281914,0.2711968,0.2883952,0.2611771,0.2528917,0.2450712,0.2494419,0.2414192
"Feb",,0.1873644,0.2127298,0.2291364,0.1943685,0.2104682,0.2101378,0.2177815,0.2140899,0.1788543,0.1983858,0.1885335,0.2183986,0.1764358,0.2180317,0.2121817,0.2230154,0.2187414,0.2669877,0.2434774,0.2533509,0.2584553,0.2162578,0.2318278,0.2236386,0.2007342
"Mar",,0.2063331,0.1758105,0.2006193,0.19335,0.1996327,0.167874,0.2157952,0.1990733,0.1814804,0.1828702,0.1848215,0.1726762,0.1724573,0.2090636,0.1986431,0.2073659,0.1932001,0.2190315,0.2153363,0.2224498,0.2246847,0.2198085,0.2205273,0.2236307,0.1991256
"Apr",,0.2362055,0.178051,0.2002109,0.1757337,0.1629151,0.1746814,0.1904303,0.205294,0.1821338,0.165439,0.1757655,0.1857377,0.1687907,0.1897568,0.2249073,0.2220702,0.1914726,0.1876358,0.17264,0.2200346,0.2549473,0.1863371,0.2051735,0.2191755,0.1999151
"May",,0.239263,0.1712928,0.1855184,0.1516943,0.1771362,0.1887206,0.157324,0.1918908,0.1685523,0.1636948,0.1751917,0.2410445,0.1694546,0.1931882,0.2260207,0.2050383,0.1899932,0.1675264,0.2082201,0.1838926,0.2227122,0.156522,0.1952998,0.2056927,0.1980052
"Jun",,0.1912235,0.1885582,0.1944819,0.1988744,0.2417563,0.3278745,0.15422,0.219786,0.1534933,0.2037983,0.1366549,0.2517476,0.1802917,0.1763497,0.3767795,0.2684678,0.2075935,0.1600903,0.195905,0.2364018,0.1924807,0.1676854,0.1750002,0.2283665,0.2069443
