"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",15.55966,18.46083,18.9978,19.81634,20.96611,20.05251,20.65037,19.85155,18.39119,20.92702,20.03318,20.50406,20.40642,21.23188,21.42707,19.53801,23.2863,20.35197,20.66302,20.90956,19.8952,20.94753,19.7628,20.11312,20.08635,17.99812,19.47175,19.91893,18.56904,17.8525,18.13977
"Feb",17.27654,16.38729,18.98488,19.75804,19.73919,20.68369,25.38434,19.43644,18.38281,21.70123,19.50136,21.0799,17.83815,22.5344,21.64821,19.26858,19.65396,21.72912,21.87192,23.4496,20.71489,18.61008,20.39039,21.00833,21.06172,19.44479,20.21317,21.71358,19.04829,19.62897,19.05914
"Mar",22.70959,23.9595,22.85993,25.20767,25.25603,24.25961,24.93979,23.35009,26.11923,24.59935,27.64453,32.15714,26.51393,28.70455,22.92808,24.38449,29.16858,29.09669,27.95789,28.47024,26.02403,27.04038,27.9113,28.67056,27.71967,26.78893,27.107,27.86811,24.61643,26.84146,27.51192
"Apr",25.97748,27.96996,24.90721,26.94915,28.36812,24.07895,28.41191,24.21671,27.71705,25.76394,30.56754,30.68763,33.46199,31.96054,24.65359,28.31703,29.99901,27.6294,30.69003,30.1946,31.77164,31.37732,31.31202,29.2615,32.15833,29.3491,30.32299,29.40355,30.8169,29.66105,30.663
"May",23.49765,29.44744,27.98265,29.69963,33.71725,29.83094,29.69197,26.90834,34.06395,31.75491,32.06446,30.97903,30.00918,37.54533,29.98494,26.79691,30.89608,31.91362,32.98866,33.01766,33.05115,34.37276,32.89924,33.51759,30.42355,31.31003,33.58381,32.78446,29.18437,35.06725,28.50874
"Jun",25.7794,26.73362,26.50137,25.53374,32.63814,27.90594,28.91722,25.55843,29.71896,27.30249,30.58807,27.06706,28.85882,32.16825,31.47739,25.39054,27.62968,32.21173,32.46075,32.53023,28.83884,30.14626,28.80705,33.65405,30.57762,30.70369,28.59966,29.8747,33.15218,31.95448,30.32354
"Jul",32.14361,32.7235,32.94782,27.91462,40.31938,20.76077,33.81881,27.1409,26.19102,38.39558,33.49508,23.00677,25.77426,33.56314,35.25939,29.86754,33.48015,37.11407,37.92048,33.74134,32.24335,32.63568,31.76485,34.10151,36.02184,30.08566,26.74177,28.55584,37.58662,33.27699,31.66635
"Aug",27.65372,35.84119,34.6777,43.94313,42.07302,33.50505,34.97212,41.48674,38.49502,29.7724,38.30786,30.56708,40.0591,39.19826,43.3661,30.40079,41.87299,35.40147,32.80936,36.49611,34.51969,37.81901,37.65491,37.40801,43.45404,33.27715,41.50884,30.71839,33.36935,41.52905,36.09031
"Sep",41.79038,39.73294,42.09952,43.75411,42.83117,42.29927,36.4719,35.68634,43.85037,41.07116,40.94712,43.50143,45.10503,49.03142,40.63277,46.54287,46.78639,40.77442,46.03472,40.78021,43.61807,40.66561,39.08898,43.11015,41.56931,33.79644,50.37743,47.12992,41.39516,45.38028,44.93571
"Oct",32.39035,37.26454,35.74521,41.27244,36.62025,36.00598,41.05578,39.22575,37.41224,32.75459,34.09024,39.57578,37.52248,40.05286,35.52662,37.8704,41.20241,36.28596,39.33457,38.49263,41.6666,35.48938,38.75356,40.86517,40.86109,34.0278,35.78875,38.23252,39.49833,38.04565,36.54576
"Nov",24.55901,22.61942,25.63796,26.3933,27.30592,26.2769,27.3267,22.98542,24.5242,27.19179,27.09196,26.91143,27.00745,27.23702,28.52581,29.01355,30.1878,29.54286,29.41211,25.35472,26.90285,24.67595,27.2646,27.813,27.55284,25.47626,25.2977,25.90507,23.19235,23.85467,25.38914
"Dec",21.22201,19.34387,20.70931,21.53006,21.80146,19.79029,20.63389,18.49512,21.23458,23.3087,21.83741,21.60757,22.25471,21.47012,21.78119,22.54719,24.95632,23.4713,23.45432,22.55747,20.25972,20.79362,21.4473,21.93309,21.07297,19.43713,20.55304,20.52657,20.06263,18.57912,19.24886
