"year","MIXEDET"
1983,42.0147325768082
1984,43.1174715353521
1985,43.5440462360377
1986,33.9727383567107
1987,57.5620606823008
1988,20.3687288056252
1989,45.2003510619566
1990,32.5014055401342
1991,30.6950807510507
1992,53.9036958054334
1993,44.584734853625
1994,24.6398003897006
1995,29.902555464595
1996,44.7141601127577
1997,47.9398080087898
1998,37.6864788366629
1999,44.5563434472357
2000,33.35992
2001,39.31725
2002,25.73597
2003,46.50682
2004,37.92871
2005,49.43964
2006,41.89981
2007,57.658
2008,40.11963
2009,41.4431
2010,53.20064
2011,32.89329
2012,41.7499
2013,41.107158389713
2014,42.40888
