"year","crop","value"
"1983","Barley",81.26307
"1983","Maize",69.99575
"1983","Sorghum",72.13947
"1983","Teff",55.66764
"1983","Wheat",55.82175
"1984","Barley",60.163
"1984","Maize",44.71683
"1984","Sorghum",46.31579
"1984","Teff",45.1308
"1984","Wheat",45.46471
"1985","Barley",98.67218
"1985","Maize",79.6533
"1985","Sorghum",80.43778
"1985","Teff",74.6363
"1985","Wheat",74.61135
"1986","Barley",95.01488
"1986","Maize",75.4855
"1986","Sorghum",76.05491
"1986","Teff",88.19473
"1986","Wheat",87.7589
"1987","Barley",98.35464
"1987","Maize",88.22718
"1987","Sorghum",90.89893
"1987","Teff",91.12982
"1987","Wheat",90.91959
"1988","Barley",96.86256
"1988","Maize",81.8996
"1988","Sorghum",82.65829
"1988","Teff",89.37202
"1988","Wheat",88.95169
"1989","Barley",97.63656
"1989","Maize",68.11883
"1989","Sorghum",67.98014
"1989","Teff",81.59531
"1989","Wheat",81.34982
"1990","Barley",88.34084
"1990","Maize",57.08387
"1990","Sorghum",55.92383
"1990","Teff",70.85379
"1990","Wheat",70.8848
"1991","Barley",96.97492
"1991","Maize",83.51958
"1991","Sorghum",84.14526
"1991","Teff",91.34445
"1991","Wheat",90.70875
"1992","Barley",87.34644
"1992","Maize",75.45811
"1992","Sorghum",76.80684
"1992","Teff",63.57211
"1992","Wheat",63.71114
"1993","Barley",92.20604
"1993","Maize",83.85297
"1993","Sorghum",85.51912
"1993","Teff",73.9294
"1993","Wheat",74.34512
"1994","Barley",98.18395
"1994","Maize",85.9603
"1994","Sorghum",86.23719
"1994","Teff",76.25657
"1994","Wheat",76.94411
"1995","Barley",92.91982
"1995","Maize",78.01642
"1995","Sorghum",78.77532
"1995","Teff",68.07853
"1995","Wheat",68.27415
"1996","Barley",98.70732
"1996","Maize",94.47242
"1996","Sorghum",95.04667
"1996","Teff",85.30832
"1996","Wheat",85.16996
"1997","Barley",85.93074
"1997","Maize",77.99729
"1997","Sorghum",78.15577
"1997","Teff",72.42281
"1997","Wheat",72.03334
"1998","Barley",97.7692
"1998","Maize",88.03714
"1998","Sorghum",88.28326
"1998","Teff",78.89307
"1998","Wheat",78.66776
"1999","Barley",99.27696
"1999","Maize",63.56432
"1999","Sorghum",65.69256
"1999","Teff",80.00535
"1999","Wheat",80.05713
"2000","Barley",98.73893
"2000","Maize",62.69285
"2000","Sorghum",71.85751
"2000","Teff",77.26178
"2000","Wheat",77.26237
"2001","Barley",93.7496
"2001","Maize",54.32881
"2001","Sorghum",58.51191
"2001","Teff",65.62619
"2001","Wheat",65.88332
"2002","Barley",78.59879
"2002","Maize",52.75114
"2002","Sorghum",54.32841
"2002","Teff",60.66413
"2002","Wheat",60.60303
"2003","Barley",98.13938
"2003","Maize",63.27834
"2003","Sorghum",63.84747
"2003","Teff",78.89415
"2003","Wheat",79.05331
"2004","Barley",60.41798
"2004","Maize",38.9864
"2004","Sorghum",40.8068
"2004","Teff",46.55585
"2004","Wheat",46.47421
"2005","Barley",93.08369
"2005","Maize",64.03733
"2005","Sorghum",66.32955
"2005","Teff",72.10907
"2005","Wheat",71.84808
"2006","Barley",97.67229
"2006","Maize",71.82274
"2006","Sorghum",72.70986
"2006","Teff",77.93397
"2006","Wheat",78.44195
"2007","Barley",96.20599
"2007","Maize",69.56434
"2007","Sorghum",70.3692
"2007","Teff",75.94595
"2007","Wheat",76.01849
"2008","Barley",84.07942
"2008","Maize",61.73458
"2008","Sorghum",64.04227
"2008","Teff",63.54472
"2008","Wheat",63.68384
"2009","Barley",91.86457
"2009","Maize",61.90357
"2009","Sorghum",61.71565
"2009","Teff",74.16148
"2009","Wheat",73.97748
"2010","Barley",99.34914
"2010","Maize",88.68298
"2010","Sorghum",89.6474
"2010","Teff",84.00147
"2010","Wheat",83.55069
"2011","Barley",95.30342
"2011","Maize",83.08917
"2011","Sorghum",84.81704
"2011","Teff",76.29816
"2011","Wheat",76.29353
"2012","Barley",97.49792
"2012","Maize",62.72189
"2012","Sorghum",64.1677
"2012","Teff",70.9286
"2012","Wheat",70.83672
"2013","Barley",99.58991
"2013","Maize",74.94493
"2013","Sorghum",73.5347
"2013","Teff",73.95351
"2013","Wheat",74.02087
"2014","Barley",99.52322
"2014","Maize",92.44729
"2014","Sorghum",92.19637
"2014","Teff",80.75413
"2014","Wheat",80.42131
"2015","Barley",98.34852
"2015","Maize",76.07197
"2015","Sorghum",77.82069
"2015","Teff",91.89898
"2015","Wheat",91.20168
"2016","Barley",99.66175
"2016","Maize",81.53842
"2016","Sorghum",82.53307
"2016","Teff",87.79575
"2016","Wheat",87.22156
"2017","Barley",97.96485
"2017","Maize",90.76984
"2017","Sorghum",90.64698
"2017","Teff",70.94915
"2017","Wheat",71.10375
"2018","Barley",99.02048
"2018","Maize",85.19578
"2018","Sorghum",85.92407
"2018","Teff",92.23525
"2018","Wheat",91.5024
