"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",6.017629,6.949703,7.401015,7.18438,7.480399,7.560713,6.011072,5.881647,4.704501,5.078773,9.311667
"Feb",7.78031,8.102272,8.4459,8.267474,8.934784,10.44106,9.482226,8.120487,8.343215,7.723257,8.953677
"Mar",11.19064,13.31745,8.781556,11.37068,10.42346,13.28791,12.42363,8.930334,11.28722,10.7522,8.869261
"Apr",10.77788,14.31525,10.2949,10.26905,12.06172,14.16341,14.66571,12.18359,11.42255,12.33478,14.99584
"May",11.25393,11.34421,14.51874,11.81966,12.46319,14.60937,14.45645,13.41394,12.40173,12.81073,16.21551
"Jun",14.86083,15.40208,19.24969,16.99677,14.4256,18.9192,18.49094,15.47338,14.60628,16.12275,15.46454
"Jul",27.6308,23.07801,29.00881,24.05852,25.05099,28.4446,25.67395,28.09093,21.59612,28.0017,24.07109
"Aug",28.15914,23.5463,25.8006,27.3496,27.31268,29.20587,27.52312,30.57739,25.30868,30.99555,28.1739
"Sep",17.97654,13.01422,12.17733,20.30499,17.92876,16.0449,15.75915,19.84357,14.86816,17.36654,18.33573
"Oct",4.078543,3.562416,2.995983,5.609541,5.220247,4.274317,4.976839,6.471251,4.204839,4.890025,4.812383
"Nov",3.4969,3.21968,4.547757,4.893539,3.804832,3.260979,3.71096,2.770806,4.155892,4.072587,4.26471
"Dec",5.651889,5.235356,6.061234,6.065609,5.300601,3.872315,3.888289,2.600631,4.331651,5.94897,6.795732
