"year","MIXEDET"
1983,21.1120023187719
1984,28.3339954169104
1985,26.0828335266692
1986,34.2724233686376
1987,27.3793633789308
1988,26.469211394623
1989,33.9514024349763
1990,31.2398823609976
1991,28.5528396516643
1992,21.6516896855069
1993,23.6306964705376
1994,31.7585150454316
1995,28.716180128572
1996,32.4653952588127
1997,25.7589529493175
1998,29.2316864667952
1999,34.1686612714148
2000,33.32087
2001,31.23137
2002,19.953
2003,31.8751
2004,26.39248
2005,26.41778
2006,34.88557
2007,29.65007
2008,30.85404
2009,27.56505
2010,28.64703
2011,29.31113
2012,27.10819
2013,27.268992985926
2014,40.7439
