"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",13.2091,2.727199,1.775389,4.605231,7.157146,3.750724,5.086215,4.418377,6.647686,22.6876,4.071084
"Feb",15.69164,3.508367,4.120145,3.162654,6.562075,2.945918,8.848242,6.259027,4.23868,13.02333,16.01308
"Mar",13.08813,4.648158,7.937301,7.96173,13.05381,7.054199,9.934683,15.55864,8.725246,15.24146,24.75091
"Apr",30.69207,14.87073,19.21892,27.75707,21.03966,33.28287,23.13098,26.60678,16.20291,35.05711,24.46582
"May",24.59287,23.61812,15.47356,37.39337,30.76406,30.32276,22.89977,34.27895,29.82646,44.74378,43.4082
"Jun",22.90472,23.44825,14.65605,20.74374,28.61077,20.59129,25.50818,25.16157,30.41464,25.73079,28.67726
"Jul",68.25068,44.1957,52.59764,49.4327,51.71857,56.8636,56.02367,43.31749,42.4486,57.30711,48.56031
"Aug",72.87727,65.09609,62.93333,77.33572,69.71179,71.6615,73.43552,70.54581,61.1994,77.73573,69.86189
"Sep",49.4567,41.83145,33.50291,49.47144,42.05005,40.37817,45.68359,54.5415,43.17482,48.30067,50.35032
"Oct",12.01342,11.43478,8.650678,14.87016,12.36301,10.46563,21.14506,27.51869,12.27585,16.70408,20.4341
"Nov",4.835714,20.21441,2.824311,6.551762,19.58338,7.463441,10.77254,11.85762,10.39724,8.427217,11.9663
"Dec",2.117554,5.60976,8.744838,6.64153,12.70478,4.305064,5.9237,10.62907,10.17203,8.461246,7.250667
