"year","MIXEDET"
1983,34.3678377463443
1984,32.310729483077
1985,31.1217768888977
1986,42.4678948795435
1987,45.236692506388
1988,15.3399497095204
1989,41.7349979581209
1990,26.5112761762473
1991,32.1311547665568
1992,36.696606501616
1993,33.3704737576347
1994,18.6170578353068
1995,28.9105752806048
1996,44.548894258064
1997,45.5891206220327
1998,37.9648358542092
1999,40.3317831831537
2000,32.66735
2001,28.60015
2002,24.783
2003,42.10976
2004,40.54305
2005,46.36747
2006,43.66699
2007,44.55096
2008,24.61703
2009,34.13438
2010,45.29259
2011,35.30748
2012,33.22676
2013,39.9096074226672
2014,36.8341
