"year","MIXEDET"
1983,24.3135837084443
1984,38.7254472285029
1985,38.1661943961513
1986,46.0972017943202
1987,39.4254550305995
1988,38.5815072450845
1989,44.6245290761785
1990,38.2835387070185
1991,44.7940461744759
1992,37.5503550264568
1993,38.4206236356274
1994,48.0260590089387
1995,48.0119770449314
1996,50.0517600403243
1997,36.8081660026665
1998,42.6784210514614
1999,38.4376157644124
2000,56.54963
2001,51.98091
2002,43.69143
2003,41.47321
2004,37.87437
2005,41.85751
2006,50.13898
2007,40.5563
2008,42.24208
2009,39.51498
2010,41.97319
2011,44.55691
2012,32.0083
2013,41.8646743093053
2014,58.98275
