"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",15.59546,17.1181,15.45997,19.58394,21.23044,17.05465,20.383,22.28056,17.72354,20.74399,22.13162,20.147,20.41452,22.62365,21.11349,21.12408,24.00056,23.0045,23.02483,21.20246,21.47731,21.45566,18.40883,20.80065,24.70319,20.43562,20.73339,21.81683,20.71171,20.85413,20.4253
"Feb",19.11103,13.21545,16.50678,19.1152,19.35062,19.21885,21.08049,19.64556,17.80389,19.42285,24.41254,19.11547,19.4025,26.13645,19.7443,19.84126,22.93053,23.29841,22.96885,26.01641,23.97605,20.55991,19.54431,19.92487,21.81538,22.80584,21.68765,21.78824,21.35266,21.04284,20.81392
"Mar",25.3364,25.87772,25.7761,28.08887,28.58149,25.33256,28.63921,29.35954,26.92901,27.30783,35.16152,26.79468,29.39593,30.63636,23.27435,28.33699,30.67628,32.76744,32.44333,36.0488,31.90258,28.72078,28.31507,29.87441,32.29146,29.05416,28.33298,25.74089,29.38063,29.99452,29.82732
"Apr",32.1477,29.56998,30.57124,28.45768,32.6295,27.94231,35.15636,30.59579,33.78684,31.9227,36.34734,31.05609,39.51915,37.81632,25.91637,37.34398,37.39595,36.78924,40.14256,38.15108,34.92036,34.61161,37.05645,37.83299,37.22152,33.22288,31.97963,39.93609,36.44655,38.62717,35.646
"May",36.62305,34.23421,37.58392,42.08508,43.17879,38.98899,43.73827,36.85576,40.03654,41.96556,44.07198,39.62908,42.29054,47.57736,40.7387,40.27311,43.27367,39.90053,41.50043,38.27129,43.44574,41.82101,43.12633,47.45763,37.88074,36.7664,38.83847,42.37282,41.59885,42.71476,35.50696
"Jun",36.99777,28.97899,34.40749,28.87611,40.39415,32.2849,35.06129,30.92216,34.12173,33.31523,35.81667,28.29181,44.25888,36.92156,41.44195,38.69708,34.78797,36.69522,34.97448,36.70271,36.51412,32.3837,36.94393,36.93166,34.69825,30.71902,37.53241,33.98349,36.42114,37.63617,32.46063
"Jul",37.51556,35.85979,34.9028,44.03531,46.26392,22.19998,43.4454,31.1918,35.71525,39.38999,36.71278,24.83773,33.123,45.71031,46.54759,40.41079,42.31595,46.00211,42.1396,43.79493,34.93806,38.57571,39.94398,42.24799,46.85325,35.14201,33.40891,43.65886,44.74049,45.20772,41.97614
"Aug",32.90046,45.73586,43.2991,55.30042,50.91898,44.39443,39.19094,41.72282,44.25152,36.27326,44.71135,38.39085,56.03914,53.22409,56.08278,45.0138,57.01985,50.17713,49.59842,50.60766,42.16394,52.30563,48.93287,49.6374,56.95539,46.23058,50.93997,48.59538,47.18029,50.67227,49.43897
"Sep",47.47227,40.46885,47.88578,52.00359,49.22569,49.27541,37.67832,34.19852,42.48891,51.25566,45.93039,52.42001,53.60501,51.95343,53.42862,53.75395,50.8177,47.85185,58.7791,52.51797,53.12018,50.6955,47.69868,55.53697,51.97608,51.42599,60.22573,57.06394,49.97477,52.39928,53.94316
"Oct",30.21971,39.13376,38.78785,43.69335,39.56673,39.04473,42.78247,38.86043,42.88732,38.40694,38.94522,44.88639,44.87768,46.13933,37.94788,41.57876,38.95573,42.80341,46.41671,47.96063,45.8648,39.72164,42.55215,48.0371,46.35598,39.51067,39.9157,48.60929,45.24375,42.31693,41.07544
"Nov",25.80019,23.66224,27.72721,29.04016,27.66559,28.49446,30.72729,25.08416,28.35101,28.98455,29.66195,29.34729,32.25854,28.36407,30.23074,32.96693,32.90258,33.07241,32.65613,30.0801,29.35712,28.74105,30.31397,32.372,30.73788,27.6542,29.62856,29.95603,26.47478,28.86454,30.31262
"Dec",21.96613,18.30202,21.8122,20.67649,21.70709,19.71845,18.37626,21.48454,21.57073,25.81893,22.5858,22.83774,24.37128,25.42002,25.85616,25.76349,27.24842,25.86159,25.57972,22.10198,19.90513,20.23545,23.82726,25.30616,24.47697,23.36748,23.47225,24.77369,24.95555,21.4067,24.07962
