"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3771602,0.191236,0.2720713,0.432975,0.338048,0.3961167,0.3031414,0.2776325,0.2608035,0.2563188,0.3329416,0.2757945,0.3234815,0.3149556,0.2523478,0.4254951,0.3944584,0.3225037,0.2731499,0.2699977,0.319172,0.2455835,0.2700663,0.3042711,0.3218826,0.3307897
"Aug",0.4501193,0.2751905,0.4292556,0.4585089,0.4072361,0.5106456,0.3642674,0.5132637,0.4607356,0.483389,0.4150646,0.4269111,0.3793392,0.503493,0.463276,0.43524,0.4940731,0.4636663,0.5395918,0.4797736,0.5015765,0.4211834,0.4837901,0.458975,0.4849294,0.4398102
"Sep",0.5670877,0.4183756,0.4132472,0.455095,0.4557281,0.5667328,0.4523187,0.7066679,0.4758078,0.5426529,0.5254815,0.59741,0.4505822,0.6504163,0.602703,0.5056248,0.4012613,0.6409876,0.6244412,0.5972853,0.6190298,0.5458429,0.5568194,0.5091752,0.5312255,0.5441992
"Oct",0.5874094,0.6280127,0.3943816,0.4698239,0.4711333,0.544157,0.4964056,0.5017707,0.5641801,0.5089356,0.4902485,0.6028801,0.4976772,0.5720048,0.438071,0.4400086,0.447574,0.4950396,0.5419,0.6100956,0.5110359,0.5616497,0.5125178,0.4855914,0.4775999,0.4873656
"Nov",0.4733801,0.5557311,0.4416817,0.3839475,0.4361042,0.4308339,0.4367541,0.4678052,0.4524421,0.4200712,0.4654267,0.5037367,0.4333634,0.468715,0.3944894,0.4294446,0.4540743,0.5073639,0.517884,0.5643098,0.4834961,0.4257891,0.4107272,0.3905796,0.4217362,0.424439
"Dec",0.3709972,0.5069155,0.3764079,0.3549072,0.3979236,0.4092457,0.3601184,0.4261787,0.2865033,0.3749423,0.4596642,0.4132164,0.3749652,0.4273537,0.3369184,0.4015418,0.5309419,0.4454722,0.410156,0.5860307,0.4246949,0.3357369,0.4253128,0.3246793,0.3826294,0.3720552
"Jan",,0.2802316,0.4372539,0.2920741,0.3650015,0.3436341,0.3568555,0.3195252,0.393875,0.3712645,0.3228067,0.370879,0.4495266,0.3242739,0.3439206,0.3368258,0.3393031,0.3800757,0.3796647,0.3657552,0.5138565,0.3354437,0.4112818,0.3310869,0.3200245,0.32125
"Feb",,0.2674465,0.3347774,0.3429773,0.2481843,0.2392204,0.3011265,0.3147073,0.4223986,0.2702946,0.3072276,0.350423,0.3696386,0.2793204,0.3181395,0.3324288,0.3621196,0.4210976,0.413683,0.3656794,0.4061924,0.4599504,0.3390354,0.3066571,0.3234731,0.2819098
"Mar",,0.3903767,0.2269764,0.3479857,0.2243941,0.374019,0.2194539,0.4886183,0.3974994,0.4660155,0.3235843,0.4320096,0.4564351,0.2444503,0.3814434,0.2879067,0.2621168,0.4182639,0.2804563,0.3303454,0.3485434,0.4002965,0.3566866,0.2595767,0.3316881,0.2829492
"Apr",,0.4658963,0.3454893,0.3542868,0.2932163,0.4030183,0.5194764,0.4192464,0.4940615,0.4013421,0.4241538,0.4314762,0.3015611,0.3669202,0.3698779,0.4426929,0.3346051,0.4374099,0.3307985,0.308932,0.4787218,0.4561103,0.3432759,0.2943933,0.3521366,0.4213695
"May",,0.3799767,0.3956511,0.3016251,0.5028572,0.4819292,0.5177555,0.4109299,0.4380205,0.3541905,0.4044025,0.4201823,0.4672137,0.3745662,0.4703173,0.4074799,0.2977872,0.3794167,0.218327,0.3346218,0.3840923,0.370141,0.4015322,0.3394773,0.4078352,0.4153319
"Jun",,0.2526341,0.5181929,0.3410833,0.4139813,0.3849319,0.4362896,0.303492,0.3211168,0.229473,0.3973418,0.320058,0.4889198,0.2260844,0.4257299,0.4652081,0.2974287,0.3050908,0.2252533,0.3153217,0.2868384,0.1852175,0.22966,0.216286,0.3352239,0.2795314
