Time,HainET30Y Evapotranspiration
Jul 1983,29.43481
Jul 1984,10.80395
Jul 1985,30.12694
Jul 1986,23.31197
Jul 1987,20.25027
Jul 1988,20.384
Jul 1989,27.00593
Jul 1990,15.4876
Jul 1991,24.61505
Jul 1992,21.64718
Jul 1993,21.47691
Jul 1994,18.51756
Jul 1995,28.81225
Jul 1996,25.0953
Jul 1997,19.58579
Jul 1998,26.44457
Jul 1999,25.27137
Jul 2000,32.10014
Jul 2001,16.0769
Jul 2002,20.99816
Jul 2003,28.29798
Jul 2004,26.38027
Jul 2005,18.61506
Jul 2006,22.42494
Jul 2007,20.11455
Jul 2008,22.21809
Jul 2009,13.63138
Jul 2010,24.49155
Jul 2011,17.91815
Jul 2012,25.30149
Jul 2013,21.67548
