"time","crop","value"
"1983","Barley",92
"1984","Barley",100
"1985","Barley",95
"1986","Barley",94
"1987","Barley",100
"1988","Barley",97
"1989","Barley",100
"1990","Barley",98
"1991","Barley",100
"1992","Barley",100
"1993","Barley",94
"1994","Barley",100
"1995","Barley",97
"1996","Barley",97
"1997","Barley",100
"1998","Barley",97
"1999","Barley",97
"2000","Barley",100
"2001","Barley",100
"2002","Barley",83
"2003","Barley",100
"2004","Barley",98
"2005","Barley",100
"2006","Barley",97
"2007","Barley",100
"2008","Barley",100
"2009","Barley",100
"2010","Barley",100
"2011","Barley",100
"2012","Barley",100
"2013","Barley",100
"2014","Barley",97
"2015","Barley",100
"2016","Barley",100
"2017","Barley",97
"2018","Barley",100
"1983","Maize",89
"1984","Maize",78
"1985","Maize",91
"1986","Maize",81
"1987","Maize",97
"1988","Maize",93
"1989","Maize",89
"1990","Maize",75
"1991","Maize",94
"1992","Maize",79
"1993","Maize",97
"1994","Maize",94
"1995","Maize",85
"1996","Maize",97
"1997","Maize",98
"1998","Maize",97
"1999","Maize",67
"2000","Maize",91
"2001","Maize",56
"2002","Maize",54
"2003","Maize",75
"2004","Maize",62
"2005","Maize",70
"2006","Maize",91
"2007","Maize",74
"2008","Maize",92
"2009","Maize",76
"2010","Maize",95
"2011","Maize",93
"2012","Maize",88
"2013","Maize",86
"2014","Maize",97
"2015","Maize",86
"2016","Maize",91
"2017","Maize",100
"2018","Maize",93
"1983","Sorghum",91
"1984","Sorghum",79
"1985","Sorghum",91
"1986","Sorghum",82
"1987","Sorghum",97
"1988","Sorghum",94
"1989","Sorghum",90
"1990","Sorghum",64
"1991","Sorghum",95
"1992","Sorghum",81
"1993","Sorghum",97
"1994","Sorghum",94
"1995","Sorghum",82
"1996","Sorghum",97
"1997","Sorghum",95
"1998","Sorghum",97
"1999","Sorghum",68
"2000","Sorghum",91
"2001","Sorghum",57
"2002","Sorghum",55
"2003","Sorghum",76
"2004","Sorghum",63
"2005","Sorghum",71
"2006","Sorghum",91
"2007","Sorghum",75
"2008","Sorghum",94
"2009","Sorghum",76
"2010","Sorghum",95
"2011","Sorghum",94
"2012","Sorghum",88
"2013","Sorghum",86
"2014","Sorghum",97
"2015","Sorghum",97
"2016","Sorghum",90
"2017","Sorghum",97
"2018","Sorghum",97
"1983","Teff",62
"1984","Teff",74
"1985","Teff",90
"1986","Teff",94
"1987","Teff",100
"1988","Teff",97
"1989","Teff",82
"1990","Teff",94
"1991","Teff",98
"1992","Teff",81
"1993","Teff",84
"1994","Teff",84
"1995","Teff",73
"1996","Teff",88
"1997","Teff",94
"1998","Teff",87
"1999","Teff",86
"2000","Teff",89
"2001","Teff",72
"2002","Teff",64
"2003","Teff",96
"2004","Teff",74
"2005","Teff",89
"2006","Teff",87
"2007","Teff",98
"2008","Teff",80
"2009","Teff",86
"2010","Teff",92
"2011","Teff",83
"2012","Teff",75
"2013","Teff",83
"2014","Teff",92
"2015","Teff",100
"2016","Teff",95
"2017","Teff",79
"2018","Teff",100
"1983","Wheat",61
"1984","Wheat",73
"1985","Wheat",89
"1986","Wheat",94
"1987","Wheat",100
"1988","Wheat",97
"1989","Wheat",80
"1990","Wheat",93
"1991","Wheat",97
"1992","Wheat",79
"1993","Wheat",83
"1994","Wheat",83
"1995","Wheat",72
"1996","Wheat",87
"1997","Wheat",92
"1998","Wheat",85
"1999","Wheat",84
"2000","Wheat",88
"2001","Wheat",71
"2002","Wheat",63
"2003","Wheat",95
"2004","Wheat",73
"2005","Wheat",88
"2006","Wheat",85
"2007","Wheat",97
"2008","Wheat",78
"2009","Wheat",85
"2010","Wheat",90
"2011","Wheat",82
"2012","Wheat",74
"2013","Wheat",81
"2014","Wheat",90
"2015","Wheat",100
"2016","Wheat",93
"2017","Wheat",78
"2018","Wheat",98
