"","MIXEDET"
"1983",-0.892903085931266
"1984",-2.37768966172377
"1985",17.4336813027712
"1986",44.9494539023817
"1987",7.34905006072263
"1988",18.686607720865
"1989",39.7322126281456
"1990",-7.52236495102973
"1991",5.86295746045443
"1992",32.6587024413148
"1993",32.0486257581112
"1994",59.0918623771136
"1995",46.0873685400857
"1996",35.6455804172026
"1997",26.3542366043372
"1998",41.5837880152808
"1999",63.5995650416698
"2000",19.8
"2001",8.6
"2002",2.3
"2003",21.9
"2004",9.9
"2005",31.9
"2006",53.3
"2007",74.3
"2008",60
"2009",25.4
"2010",46.8
"2011",43.5
"2012",33.2
"2013",26.2
"2014",25
