"year","MIXEDET"
1983,26.3187531567793
1984,32.453131110336
1985,30.7846202930029
1986,37.1334701229884
1987,28.7374990204219
1988,33.0566630087347
1989,36.1139431656004
1990,34.3043997344658
1991,28.0099607253283
1992,28.7372797987424
1993,30.6665913407686
1994,37.9912845548102
1995,34.3795635409716
1996,35.3378984202262
1997,31.2705032234117
1998,35.4426571534624
1999,40.171078787815
2000,39.51501
2001,36.66914
2002,28.15287
2003,35.68256
2004,33.81225
2005,34.03166
2006,39.23627
2007,35.50247
2008,38.42035
2009,30.70428
2010,32.82794
2011,32.99417
2012,30.33995
2013,36.8886725808976
2014,43.99457
