"year","MIXEDET"
1983,38.6005974571581
1984,44.9044033146951
1985,42.3859763301143
1986,37.4837543071458
1987,57.6620545723401
1988,13.6635411113154
1989,42.4771533188588
1990,30.4816706461047
1991,21.284073697023
1992,53.8493202962341
1993,58.8869584843731
1994,27.3801076561004
1995,31.691190027024
1996,53.3408926810316
1997,62.1375000148026
1998,33.4001415701707
1999,46.6600389522559
2000,31.1513
2001,30.85229
2002,24.12187
2003,49.2338
2004,34.69362
2005,53.67521
2006,44.46699
2007,64.5372
2008,41.52164
2009,50.3499
2010,59.20278
2011,35.87533
2012,48.12918
2013,55.8185633440563
2014,47.2376
