"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",1.048081,2.537369,2.431284,2.597599,2.778108,2.383332,1.285812,1.400853,1.152467,1.012855,3.19878
"Feb",2.289133,2.180556,3.225233,3.389323,3.138604,4.062233,3.288797,2.781352,2.708794,2.082701,3.334325
"Mar",4.468264,4.722196,4.17305,5.644225,4.341282,6.192894,4.670614,4.215306,3.949888,3.889776,3.578487
"Apr",5.040433,7.0851,4.991199,5.545222,6.092168,7.767671,7.423174,5.378448,4.624385,5.460914,6.069821
"May",6.821192,7.455979,7.97168,8.277747,8.576483,9.123909,9.047991,11.31218,7.914404,8.464973,10.42105
"Jun",13.60532,15.86719,13.76798,17.96449,14.06751,17.47837,16.2296,15.95113,12.32883,14.54563,15.01666
"Jul",34.21894,30.32226,31.08056,31.85889,26.53574,33.97329,26.83535,34.56245,25.92234,33.10099,29.98519
"Aug",33.77681,30.67836,31.23023,33.06404,31.75709,34.29295,31.41819,34.10769,31.49331,35.53872,31.54029
"Sep",22.843,20.48446,16.16509,25.2866,23.98237,23.4253,21.57368,24.2318,21.39289,23.80906,21.74179
"Oct",5.72337,5.149566,2.693211,8.783231,7.014231,5.861894,7.978793,11.75119,5.372796,8.694928,6.697665
"Nov",1.567426,1.849557,1.792876,3.174606,2.151084,2.449941,3.216129,3.545477,2.885114,2.846962,2.537164
"Dec",2.174437,1.795449,2.17037,2.631462,1.60164,1.202979,1.524359,1.194745,1.173722,2.44116,2.529708
