"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2014"
"Jan",11.70808,17.10851,18.02127,11.34972,12.44998,14.10848,12.04991,18.65412,17.80379,9.47482,11.59581,12.79167,12.84153,12.07097
"Feb",7.841529,12.27527,9.079195,10.26684,9.975058,10.44595,8.816523,9.466702,10.1329,8.308504,5.554056,7.737337,6.84166,7.720787
"Mar",10.32926,10.53743,10.48317,9.487572,7.525195,11.30427,6.420681,9.666798,3.779082,9.837553,8.696005,10.29593,7.683622,8.953962
"Apr",8.245987,8.091747,9.178968,7.804406,13.93365,8.716673,7.708438,9.049935,7.512304,6.625113,10.7502,6.216727,6.0834,5.691427
"May",6.895667,5.441826,3.387595,3.162646,3.750216,10.95838,11.1535,7.091668,10.08349,4.275217,13.6289,11.79186,5.725055,10.89535
"Jun",5.575009,5.225702,5.662561,10.99662,15.46274,14.18703,12.5625,20.37061,20.90869,10.36678,18.46631,20.68344,16.08331,12.40793
"Jul",31.1513,30.85229,24.12187,49.2338,34.69362,53.67521,44.46699,64.5372,41.52164,50.3499,59.20278,35.87533,48.12918,47.2376
"Aug",56.83367,70.30282,62.26077,71.04715,71.83697,64.94568,74.02503,74.9039,62.40268,65.76669,82.51163,67.90044,64.90768,71.40328
"Sep",50.65318,56.75123,53.75153,61.34471,56.19463,57.82817,57.89777,63.24419,54.29917,56.28231,59.94392,61.29439,56.70131,57.88933
"Oct",39.51501,36.66914,28.15287,35.68256,33.81225,34.03166,39.23627,35.50247,38.42035,30.70428,32.82794,32.99417,30.33995,43.99457
"Nov",25.59558,18.88287,15.3825,20.49189,19.49209,18.37418,25.61647,19.59493,23.57097,18.13341,18.87466,24.82546,20.1034,25.72887
"Dec",18.92116,16.02505,16.67901,16.05023,16.47108,11.28304,26.79605,14.04942,13.6459,12.40842,13.54979,14.56668,13.3741,17.62902
