"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,31.51,29.28,75,0,0,0,0
1984,16,2.3,2.3,50,100,0,63.89,163.89
1985,16,15.14,40.14,75,43.68,0,0,43.68
1986,16,54.46,50,75,0,0,0,0
1987,16,61.71,36.71,75,0,0,0,0
1988,16,37.66,25,75,0,0,0,0
1989,16,45.63,42.85,75,0,0,0,0
1990,16,5.61,5.61,46.18,96.6,0,74.51,171.11
1991,16,58.27,48.16,75,0,0,0,0
1992,16,11.78,10.92,60.92,62.34,0,33.55,95.89
1993,16,58.71,50,75,0,0,0,0
1994,16,50,50,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,65.32,40.32,75,0,0,0,0
1997,16,59.13,42.47,75,0,0,0,0
1998,16,50.26,50,75,0,0,0,0
1999,16,20.38,45.38,75,14.56,0,0,14.56
2000,16,26.16,45.6,71.73,0,0,3.53,3.53
2001,16,25.68,43.06,75,0,0,0,0
2002,16,29.96,16.57,61.61,0,0,31.64,31.64
2003,16,34.13,47.22,72.77,0,0,0.63,0.63
2004,16,28.26,42.83,67.83,0,0,14.36,14.36
2005,16,28.02,39.92,75,0,0,0,0
2006,16,40.95,50,75,0,0,0,0
2007,16,39.39,32.62,75,0,0,0,0
2008,16,21.75,25,75,6.94,0,0,6.94
2009,16,54.27,50,75,0,0,0,0
2010,16,51.7,50,75,0,0,0,0
2011,16,35.67,50,75,0,0,0,0
2012,16,25,50,75,0,0,0,0
2013,16,4.17,21.04,66.87,100,0,17.02,117.02
2014,16,21.19,33.89,75,10.07,0,0,10.07
2015,16,15.17,12.57,62.57,43.49,0,28.96,72.45
2016,16,50,50,75,0,0,0,0
2017,16,35.3,50,75,0,0,0,0
2018,16,52.46,47.31,75,0,0,0,0
2019,16,54.65,50,75,0,0,0,0
