"year","MIXEDET"
1983,25.1864964126595
1984,22.3342523188743
1985,22.1706020974848
1986,33.8761290736989
1987,33.5414464880706
1988,15.5564747095854
1989,34.2134068587335
1990,24.1684476640193
1991,27.3644139245583
1992,25.0475769150247
1993,30.3282734012155
1994,14.3965950421277
1995,26.7067162464311
1996,38.5733745740228
1997,39.9792093583291
1998,36.570600309456
1999,36.5736752936266
2000,32.62639
2001,23.38647
2002,19.72499
2003,36.25114
2004,35.163
2005,38.77557
2006,33.51287
2007,40.20033
2008,21.46321
2009,28.11341
2010,37.60065
2011,26.26252
2012,31.01319
2013,34.8370834353991
2014,31.61301
