"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",18.26052,13.24675,16.43404,19.10422,23.81688,19.36485,21.83637,24.37807,20.34967,21.83698,25.93376,23.68846,22.67326,25.35612,23.69556,26.6262,27.13393,27.10745,28.09493,23.41076,25.3009,24.70196,20.15027,22.52158,24.43261,22.21778,22.39536,21.71363,19.70342,21.55791,23.29889
"Feb",21.84757,14.13109,16.78584,21.45514,23.76944,21.32999,20.11444,21.38707,22.09259,21.29955,27.95486,23.18271,23.26656,30.59056,23.16569,25.1225,26.49767,25.4086,26.30963,28.39974,26.46324,23.53759,22.82018,23.54047,21.92638,24.4461,22.35681,20.61461,21.72371,23.72065,23.52104
"Mar",30.86914,25.77955,27.25633,30.95445,32.89056,28.65208,31.13241,33.19881,29.34855,30.37833,38.40473,29.39382,37.8029,35.37966,26.1152,31.95933,34.65673,36.10001,33.02187,38.61383,38.73345,31.39633,32.39745,36.01618,34.12457,31.54469,31.19958,27.85859,27.88166,31.31582,32.86342
"Apr",36.92143,32.65668,35.47512,30.91754,36.14928,32.49731,38.38304,31.96485,36.45425,36.56835,39.65169,33.77047,45.62411,41.61927,29.5246,42.63441,38.70123,40.59069,42.65112,42.89174,39.00708,35.13597,40.15887,41.97706,39.69464,33.46836,35.86851,40.20285,37.848,40.96501,38.35978
"May",41.86333,34.05167,38.88176,45.97158,46.18243,42.05591,46.70678,34.45299,40.6168,41.2729,51.68635,40.94213,45.85708,48.81581,44.27185,41.91127,43.55306,41.10985,42.57973,38.38957,47.28926,41.92167,48.33152,49.68591,37.23068,39.65422,39.48195,42.53382,42.35892,44.52386,34.42094
"Jun",36.4897,26.52073,33.50354,30.98217,42.45788,30.5968,37.95755,29.71815,34.008,31.41688,35.63909,27.29968,40.72209,36.67908,41.27675,39.21618,34.50338,36.78453,33.76817,34.45174,37.73927,34.36096,39.94152,33.99709,30.39638,31.26177,35.14917,32.28617,33.57842,37.65812,28.65172
"Jul",33.28139,30.66566,30.51558,41.25046,40.94353,24.44991,41.55977,32.34776,35.27871,33.15399,37.9968,23.38621,34.67555,45.5582,46.84746,43.7215,43.72432,46.45638,43.38469,39.98367,37.92405,41.36702,41.62895,39.04018,47.40761,35.37275,36.93645,40.3762,41.54904,46.47395,42.13173
"Aug",31.45295,42.48464,44.22594,53.3638,49.18132,46.67185,42.47553,47.71028,49.86092,36.46453,48.13738,42.94246,56.9093,55.75753,54.49799,49.3275,62.3076,51.25733,51.92617,54.73658,46.23995,54.15501,52.55644,48.94126,60.94767,52.19576,52.00164,49.64899,48.84804,54.20026,50.91554
"Sep",43.18911,38.16368,48.37691,54.35663,46.76204,50.57572,38.04165,40.67636,46.21173,51.72896,52.22232,57.81501,56.33045,53.65583,52.41631,59.5073,58.14043,51.14005,58.16074,57.6533,54.77404,51.9619,49.28673,58.50358,55.77668,58.04366,56.92354,58.82097,52.86245,55.10508,53.55987
"Oct",30.03456,34.19623,42.04206,47.29171,41.76697,42.38166,42.3686,41.021,44.20084,41.49477,41.71116,48.77834,46.79359,49.52591,42.305,44.08788,42.90584,44.38044,47.61827,53.26723,49.31564,41.11137,44.09205,49.21642,50.77471,44.20938,41.15588,51.7995,45.73472,46.36986,44.19754
"Nov",28.47593,25.22716,31.4879,32.80326,29.07552,32.10183,31.08587,25.88089,30.70565,31.76163,33.04296,32.36334,35.95736,30.24536,32.5329,36.6562,37.3004,35.02089,36.32309,34.1562,33.24687,31.52267,32.19561,34.67086,33.46632,31.39087,30.20053,32.13256,26.40073,31.28005,31.67694
"Dec",23.373,20.35822,22.69362,28.21813,23.03101,23.0529,19.35997,21.1905,24.55452,25.90562,24.73004,25.67599,29.15277,26.82414,29.69196,28.74909,31.09732,27.27663,29.71718,24.21125,25.47248,22.17722,26.07673,28.76711,26.77662,25.42832,24.69925,26.33252,26.17729,23.4558,23.53017
