"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",16.89523,3.736458,2.321998,6.93627,9.104031,4.352962,7.862008,5.952916,9.819293,27.84781,2.97507
"Feb",16.87071,4.799561,3.593962,5.407827,7.203423,2.721464,10.53238,7.797686,6.224913,16.37866,14.41759
"Mar",12.06183,3.400609,6.7512,8.696429,12.74395,7.171806,11.40585,15.29061,9.803978,15.9437,24.45677
"Apr",31.22536,12.05981,21.26729,24.9073,21.45784,37.58449,23.89254,29.2177,17.4208,32.80186,24.73163
"May",23.30503,18.2268,14.92873,34.92901,31.15375,33.26865,23.2999,33.21877,25.43881,45.48956,41.11469
"Jun",17.47353,19.45304,12.41226,17.66374,26.02289,21.30594,19.70408,26.10799,25.09385,25.26944,27.74652
"Jul",58.52008,42.55359,46.08606,43.70965,43.39877,52.33252,48.38683,36.73088,32.03155,51.40753,45.12291
"Aug",72.92789,68.62049,57.02694,77.74533,70.28127,75.01331,75.49408,72.52525,57.48316,76.98653,70.28069
"Sep",54.71084,49.948,34.93834,54.38266,42.29452,47.34648,50.3685,58.8767,43.8343,53.20773,56.12495
"Oct",16.42104,17.13534,9.818337,19.81449,11.89454,18.05868,23.69659,34.68254,11.96601,20.75068,27.26206
"Nov",6.587863,24.95576,2.422138,8.216927,13.76069,10.44586,9.766826,16.28056,10.81034,7.97845,14.15944
"Dec",2.554552,7.773806,10.24374,8.011889,13.0635,5.329405,4.276732,14.96913,11.00258,7.416975,7.345138
