"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3732335,0.1560899,0.2598799,0.3419339,0.2239832,0.2668055,0.2384723,0.2638784,0.270492,0.2835903,0.255235,0.1769131,0.216953,0.1656471,0.1956825,0.3758003,0.3199763,0.2518509,0.2426051,0.3200424,0.2282517,0.1758913,0.2033255,0.2484363,0.3209286,0.2636313
"Aug",0.5345326,0.3172268,0.2603071,0.2909952,0.196114,0.4493024,0.2765874,0.5249055,0.4281956,0.4395857,0.3785178,0.33619,0.289466,0.4315111,0.4919075,0.4886571,0.3150572,0.4342802,0.4978415,0.4922265,0.482225,0.4305377,0.4369977,0.4296509,0.4769267,0.3539624
"Sep",0.5841907,0.4273168,0.3072371,0.2649775,0.326493,0.5775312,0.3877547,0.6468557,0.3878493,0.411024,0.4290003,0.5852826,0.4145294,0.654723,0.5953762,0.558686,0.2025725,0.570117,0.6051455,0.542374,0.5949028,0.5904659,0.5049143,0.4589965,0.491828,0.5405562
"Oct",0.5172568,0.5630893,0.3123564,0.3297684,0.3843985,0.4856041,0.4204683,0.4522842,0.4413113,0.4389696,0.4714731,0.5567026,0.4313379,0.5542451,0.4334881,0.4590624,0.3410127,0.4829825,0.5328906,0.5396497,0.4801846,0.5524014,0.4677497,0.4066671,0.4322801,0.4565195
"Nov",0.3835087,0.5043629,0.3414641,0.317339,0.3722232,0.337897,0.3509075,0.4280269,0.3848795,0.377122,0.4386657,0.4428749,0.3743839,0.4317041,0.3427423,0.4332133,0.4652697,0.4842613,0.5114329,0.5287376,0.4229634,0.3789414,0.3550346,0.3136255,0.3590739,0.3663979
"Dec",0.2855327,0.4599385,0.3000858,0.3478478,0.3021541,0.3493124,0.2725677,0.3860949,0.3133946,0.3374951,0.4138223,0.3696024,0.3118837,0.3549774,0.3081155,0.3995279,0.4988197,0.4181636,0.3835045,0.5166938,0.3602195,0.2777058,0.3726978,0.2632189,0.3287879,0.3093672
"Jan",,0.2225364,0.4018363,0.2581239,0.4025703,0.2404654,0.3434886,0.2703605,0.339484,0.4611372,0.2927673,0.3135864,0.3829204,0.2574928,0.2547663,0.3258671,0.2909558,0.3756859,0.3695862,0.326046,0.4548557,0.3242061,0.3650039,0.3010747,0.2566299,0.2601551
"Feb",,0.1949897,0.262764,0.3092906,0.2417788,0.1844118,0.2768666,0.2862069,0.3378716,0.359969,0.2784019,0.3161121,0.353733,0.2103174,0.2273792,0.3224533,0.278068,0.3656561,0.3839864,0.3181679,0.3458343,0.4133279,0.3031357,0.2832769,0.2398448,0.2161998
"Mar",,0.3074742,0.2063959,0.3147412,0.1745633,0.3088543,0.2848339,0.4192557,0.3328036,0.4272746,0.3708968,0.4050928,0.4703403,0.1868962,0.3495825,0.2618278,0.1861197,0.3367587,0.270255,0.2779169,0.3153266,0.3106149,0.3285828,0.2432992,0.2515627,0.2243989
"Apr",,0.3391429,0.3047768,0.3258547,0.278452,0.417949,0.5503258,0.363457,0.4509316,0.337075,0.4363281,0.3505481,0.3201985,0.2760333,0.4972135,0.397723,0.2670455,0.3230512,0.291429,0.2508854,0.3548133,0.3443331,0.3201622,0.2601716,0.2775682,0.3756847
"May",,0.3063231,0.3852586,0.332539,0.4612813,0.4314371,0.4284981,0.3527283,0.4535923,0.2515772,0.3786049,0.350581,0.4963831,0.2022621,0.4383293,0.4108489,0.1984228,0.3005322,0.2034071,0.3069639,0.2910271,0.2778668,0.3242499,0.279757,0.3373924,0.352581
"Jun",,0.2073821,0.4332977,0.3711235,0.3494325,0.279783,0.3701599,0.2418383,0.2720302,0.1911763,0.3367639,0.2610705,0.3631537,0.1374668,0.2565001,0.4284883,0.2186394,0.2029168,0.177774,0.2381593,0.1719917,0.1306421,0.1749737,0.1777705,0.2568975,0.2142182
