T2,MODIS HAIN ET
Jul 2000,15.9
Jul 2001,18.2
Jul 2002,4.0
Jul 2003,44.7
Jul 2004,11.0
Jul 2005,34.5
Jul 2006,28.9
Jul 2007,68.9
Jul 2008,55.4
Jul 2009,30.5
Jul 2010,52.3
Jul 2011,19.6
Jul 2012,46.6
Jul 2013,6.8
Jul 2014,27.9
