Time,HainET30Y Evapotranspiration
Jul 1983,30.55615
Jul 1984,15.83647
Jul 1985,20.21154
Jul 1986,19.86199
Jul 1987,35.78158
Jul 1988,19.65575
Jul 1989,19.79963
Jul 1990,17.21192
Jul 1991,26.54206
Jul 1992,29.1343
Jul 1993,23.82775
Jul 1994,19.68069
Jul 1995,26.84154
Jul 1996,25.61021
Jul 1997,28.68513
Jul 1998,24.2617
Jul 1999,29.20922
Jul 2000,31.8331
Jul 2001,25.17703
Jul 2002,32.2794
Jul 2003,31.70802
Jul 2004,36.52773
Jul 2005,26.33004
Jul 2006,24.49863
Jul 2007,16.02599
Jul 2008,20.96817
Jul 2009,16.77105
Jul 2010,27.49802
Jul 2011,18.30395
Jul 2012,25.30595
Jul 2013,11.68664
