"year","MIXEDET"
1983,58.4430332698804
1984,67.9883730199626
1985,60.1451033601058
1986,52.5323700801781
1987,78.1330438215794
1988,32.9434992559371
1989,63.5248489526311
1990,48.324546104104
1991,50.5762217458707
1992,63.4438401942356
1993,61.9952297053553
1994,36.948492014654
1995,47.5574291102579
1996,62.9453479088274
1997,75.593983548378
1998,53.6636168449915
1999,58.4647860861182
2000,45.45984
2001,40.98344
2002,42.08477
2003,61.6441
2004,58.95388
2005,64.06037
2006,59.5393
2007,73.14928
2008,63.97976
2009,50.69412
2010,70.43311
2011,67.28754
2012,69.6918
2013,47.5254101686011
2014,65.93579
