"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",3.601362,3.883057,3.917185,2.590605,5.696487,5.08598,6.219006,6.355217,5.432151,8.294201,7.694619
"Feb",2.294267,2.722706,3.323499,2.03248,4.556178,4.430525,5.71801,5.579926,5.194672,4.818997,11.99436
"Mar",4.045089,4.952874,5.253043,5.844871,12.25964,7.126288,8.84949,11.88288,5.889165,5.993085,13.12296
"Apr",12.17315,19.70929,9.483308,15.83292,14.30439,12.35827,14.93968,15.85088,9.116257,12.16047,16.66829
"May",20.78443,38.271,16.17245,28.11551,26.53076,20.20897,23.47668,40.14264,30.55494,35.32462,43.08753
"Jun",44.10312,54.41393,29.11587,37.05055,48.00037,36.3959,38.86578,49.15839,43.73451,40.93819,44.23999
"Jul",79.09324,70.80029,64.9938,64.41366,69.48041,75.36105,76.32584,65.73109,62.59136,73.74346,69.16387
"Aug",67.492,66.41427,61.50059,69.93761,68.19325,67.85936,69.16685,66.77813,63.12136,73.57742,71.96221
"Sep",49.29646,44.97645,33.46829,48.39945,48.22189,44.39273,40.68416,52.31661,49.157,51.04229,51.93958
"Oct",18.71028,20.33286,15.65482,21.81264,22.76844,22.06839,27.99638,38.17118,23.39371,25.40195,25.26476
"Nov",9.991811,19.2222,8.26609,10.90231,19.71416,20.11277,17.50571,18.14376,16.59005,14.20357,16.06952
"Dec",4.848116,7.11599,4.681371,7.24742,8.967013,10.76306,9.366549,9.09281,12.0261,9.592653,10.22772
