"year","MIXEDET"
1983,45.6913930573818
1984,54.1839387317844
1985,49.9477029182833
1986,61.4411698599335
1987,50.2334521877468
1988,53.3622421605531
1989,58.1538213693976
1990,57.8258240018218
1991,54.3739146218871
1992,45.9155312060756
1993,53.4247627315757
1994,52.327783836519
1995,49.895335119175
1996,47.9589005697667
1997,45.0828881608911
1998,57.3464941121622
1999,57.0097825576177
2000,61.38706
2001,50.94062
2002,48.41555
2003,55.7203
2004,54.3328
2005,57.45597
2006,53.45653
2007,47.55114
2008,53.69956
2009,50.86748
2010,45.67062
2011,48.95609
2012,49.20319
2013,48.9588493905677
2014,57.50769
