"year","crop","value"
"1983","Barley",83.78367
"1983","Maize",89.0658
"1983","Sorghum",87.59994
"1983","Teff",72.02959
"1983","Wheat",76.09216
"1984","Barley",90.98579
"1984","Maize",98.66673
"1984","Sorghum",96.00571
"1984","Teff",87.96052
"1984","Wheat",83.86764
"1985","Barley",85.79754
"1985","Maize",94.00637
"1985","Sorghum",93.59309
"1985","Teff",75.6852
"1985","Wheat",75.90795
"1986","Barley",82.99734
"1986","Maize",85.99115
"1986","Sorghum",84.01874
"1986","Teff",90.21305
"1986","Wheat",82.10692
"1987","Barley",89.42262
"1987","Maize",96.29474
"1987","Sorghum",94.5845
"1987","Teff",81.71765
"1987","Wheat",79.54196
"1988","Barley",85.95537
"1988","Maize",89.27811
"1988","Sorghum",86.85681
"1988","Teff",85.27129
"1988","Wheat",83.23215
"1989","Barley",87.55204
"1989","Maize",95.19316
"1989","Sorghum",92.85661
"1989","Teff",85.49487
"1989","Wheat",84.71777
"1990","Barley",66.50047
"1990","Maize",68.34365
"1990","Sorghum",73.44214
"1990","Teff",82.79753
"1990","Wheat",75.15809
"1991","Barley",77.87857
"1991","Maize",88.96838
"1991","Sorghum",95.05399
"1991","Teff",82.96131
"1991","Wheat",75.4772
"1992","Barley",70.51431
"1992","Maize",77.74423
"1992","Sorghum",88.27289
"1992","Teff",87.94227
"1992","Wheat",77.09055
"1993","Barley",89.55163
"1993","Maize",97.63986
"1993","Sorghum",96.26719
"1993","Teff",87.07182
"1993","Wheat",86.72618
"1994","Barley",87.45833
"1994","Maize",97.62679
"1994","Sorghum",97.51132
"1994","Teff",86.40981
"1994","Wheat",84.69952
"1995","Barley",83.23234
"1995","Maize",86.79521
"1995","Sorghum",88.22591
"1995","Teff",72.07215
"1995","Wheat",63.72548
"1996","Barley",89.09833
"1996","Maize",97.08147
"1996","Sorghum",97.5523
"1996","Teff",84.09586
"1996","Wheat",82.60324
"1997","Barley",98.89822
"1997","Maize",99.60022
"1997","Sorghum",99.40899
"1997","Teff",97.78249
"1997","Wheat",96.46359
"1998","Barley",90.57726
"1998","Maize",97.67184
"1998","Sorghum",95.60612
"1998","Teff",83.2496
"1998","Wheat",82.31763
"1999","Barley",83.7329
"1999","Maize",85.33456
"1999","Sorghum",83.52638
"1999","Teff",88.83605
"1999","Wheat",83.92948
"2000","Barley",80.36452
"2000","Maize",81.01974
"2000","Sorghum",91.03247
"2000","Teff",88.13002
"2000","Wheat",84.87351
"2001","Barley",89.08944
"2001","Maize",94.02515
"2001","Sorghum",92.43479
"2001","Teff",87.40524
"2001","Wheat",83.97021
"2002","Barley",84.17953
"2002","Maize",87.34716
"2002","Sorghum",85.90768
"2002","Teff",88.32569
"2002","Wheat",84.73101
"2003","Barley",78.9784
"2003","Maize",81.87451
"2003","Sorghum",80.06207
"2003","Teff",85.77984
"2003","Wheat",78.19804
"2004","Barley",60.03996
"2004","Maize",63.39906
"2004","Sorghum",68.06429
"2004","Teff",80.33978
"2004","Wheat",64.58747
"2005","Barley",87.20901
"2005","Maize",88.12631
"2005","Sorghum",88.55736
"2005","Teff",85.47775
"2005","Wheat",78.47791
"2006","Barley",93.96567
"2006","Maize",97.23501
"2006","Sorghum",96.09792
"2006","Teff",91.59789
"2006","Wheat",88.97214
"2007","Barley",90.9241
"2007","Maize",93.68635
"2007","Sorghum",96.90321
"2007","Teff",88.25852
"2007","Wheat",85.25494
"2008","Barley",91.80837
"2008","Maize",98.93378
"2008","Sorghum",99.12036
"2008","Teff",87.7385
"2008","Wheat",86.13489
"2009","Barley",82.54304
"2009","Maize",83.94544
"2009","Sorghum",84.46994
"2009","Teff",82.02799
"2009","Wheat",82.40649
"2010","Barley",77.66643
"2010","Maize",83.55897
"2010","Sorghum",94.56649
"2010","Teff",76.05607
"2010","Wheat",77.65641
"2011","Barley",90.13784
"2011","Maize",96.17027
"2011","Sorghum",95.97482
"2011","Teff",82.79242
"2011","Wheat",81.99319
"2012","Barley",85.2673
"2012","Maize",89.3587
"2012","Sorghum",93.13009
"2012","Teff",88.69345
"2012","Wheat",83.37875
"2013","Barley",90.22121
"2013","Maize",97.65312
"2013","Sorghum",96.70238
"2013","Teff",86.48417
"2013","Wheat",79.67487
"2014","Barley",95.49991
"2014","Maize",99.94662
"2014","Sorghum",99.94662
"2014","Teff",92.83842
"2014","Wheat",88.49284
"2015","Barley",96.60175
"2015","Maize",99.86675
"2015","Sorghum",99.94669
"2015","Teff",93.95331
"2015","Wheat",92.11469
"2016","Barley",89.89295
"2016","Maize",96.80972
"2016","Sorghum",97.27167
"2016","Teff",84.44539
"2016","Wheat",80.12634
"2017","Barley",86.99187
"2017","Maize",95.63686
"2017","Sorghum",96.36978
"2017","Teff",78.21176
"2017","Wheat",68.78081
"2018","Barley",93.88735
"2018","Maize",97.15611
"2018","Sorghum",97.18694
"2018","Teff",90.71535
"2018","Wheat",89.16509
